archetype,decision,count,avg_return_pct,win_rate_pct,avg_excess_spy_pct
HYPER_GROWTH,BROKEN_SUPPORT_AVOID,156,39.59,70.5,23.71
HYPER_GROWTH,BUY_ON_PULLBACK,260,35.97,70.0,21.4
HYPER_GROWTH,OVERSOLD_REBOUND_CANDIDATE,263,33.91,66.9,18.46
HYPER_GROWTH,TRUE_DOWNTREND_AVOID,236,33.8,74.2,18.15
HYPER_GROWTH,WAIT_FOR_PULLBACK,284,28.33,72.9,14.41
HYPER_GROWTH,WATCHLIST,3981,37.0,73.9,21.58
MATURE_VALUE,WATCHLIST,11,19.63,54.5,4.98
PROFITABLE_GROWTH,BROKEN_SUPPORT_AVOID,1679,30.18,69.7,6.95
PROFITABLE_GROWTH,BUY_ON_PULLBACK,3540,13.46,66.6,0.27
PROFITABLE_GROWTH,OVERSOLD_REBOUND_CANDIDATE,3594,19.77,68.6,3.1
PROFITABLE_GROWTH,TRUE_DOWNTREND_AVOID,3151,16.96,67.5,-0.3
PROFITABLE_GROWTH,WAIT_FOR_PULLBACK,4216,11.8,66.9,-0.77
PROFITABLE_GROWTH,WATCHLIST,49689,15.96,67.7,0.8
TURNAROUND,OVERSOLD_REBOUND_CANDIDATE,3,27.77,100.0,11.58
TURNAROUND,TRUE_DOWNTREND_AVOID,3,21.68,100.0,5.95
TURNAROUND,WATCHLIST,10,20.76,100.0,6.37
