regime,decision,count,avg_return_pct,win_rate_pct,avg_excess_spy_pct
BEAR_RISK_OFF,ACCUMULATE_ON_WEAKNESS,2923,19.53,66.4,-0.11
BEAR_RISK_OFF,AVOID_LONG_TERM,76,27.41,84.2,0.64
BEAR_RISK_OFF,BUY_NOW_LONG_TERM,21,18.45,47.6,3.5
BEAR_RISK_OFF,WATCHLIST_VALUATION_TOO_RICH,7711,29.91,78.1,6.56
BULL_NARROW_LEADERSHIP,ACCUMULATE_ON_WEAKNESS,366,11.06,57.1,-5.03
BULL_NARROW_LEADERSHIP,AVOID_LONG_TERM,1,-11.93,0.0,-1.66
BULL_NARROW_LEADERSHIP,BUY_NOW_LONG_TERM,5,4.51,60.0,-4.93
BULL_NARROW_LEADERSHIP,WATCHLIST_VALUATION_TOO_RICH,607,16.56,65.2,0.94
BULL_RISK_ON,ACCUMULATE_ON_WEAKNESS,17252,11.52,62.5,-0.76
BULL_RISK_ON,AVOID_LONG_TERM,81,4.68,69.1,-9.36
BULL_RISK_ON,BUY_NOW_LONG_TERM,428,19.87,58.4,6.94
BULL_RISK_ON,WATCHLIST_VALUATION_TOO_RICH,26042,17.07,68.3,3.52
LIQUIDITY_RALLY,ACCUMULATE_ON_WEAKNESS,834,27.22,77.5,3.71
LIQUIDITY_RALLY,AVOID_LONG_TERM,4,6.44,75.0,-14.45
LIQUIDITY_RALLY,BUY_NOW_LONG_TERM,16,49.63,87.5,29.88
LIQUIDITY_RALLY,WATCHLIST_VALUATION_TOO_RICH,1300,31.51,80.2,7.71
SIDEWAYS_CHOPPY,ACCUMULATE_ON_WEAKNESS,4375,12.43,62.0,-1.86
SIDEWAYS_CHOPPY,AVOID_LONG_TERM,46,10.4,73.9,-9.93
SIDEWAYS_CHOPPY,BUY_NOW_LONG_TERM,43,5.11,34.9,-5.22
SIDEWAYS_CHOPPY,WATCHLIST_VALUATION_TOO_RICH,8948,19.88,71.7,3.71
