month,signals,avg_return_pct,win_rate_pct,buy_signals,avoid_signals
2018-01,940,-1.93,42.2,73,25
2018-02,752,8.1,60.2,204,37
2018-03,756,8.73,62.8,85,72
2018-04,945,15.05,73.4,242,68
2018-05,756,9.55,66.0,71,25
2018-06,756,9.74,64.4,48,42
2018-07,945,12.8,72.0,140,51
2018-08,756,6.55,60.8,98,41
2018-09,756,9.03,64.8,62,52
2018-10,950,13.66,69.8,188,101
2018-11,760,20.97,83.3,85,137
2018-12,950,30.9,90.0,98,187
2019-01,764,30.28,87.8,23,55
2019-02,764,22.19,82.1,12,8
2019-03,764,-2.53,47.9,32,26
2019-04,959,-5.12,42.2,65,34
2019-05,768,3.68,51.7,179,49
2019-06,768,11.42,59.5,87,67
2019-07,960,8.19,51.7,70,25
2019-08,768,18.32,61.8,218,66
2019-09,960,15.36,60.9,99,33
2019-10,768,17.15,63.0,63,35
2019-11,768,17.38,69.1,51,22
2019-12,964,24.11,70.3,108,19
2020-01,772,24.77,70.9,25,27
2020-02,772,27.85,71.5,136,56
2020-03,967,72.74,93.8,230,293
2020-04,778,67.73,96.5,18,241
2020-05,780,60.82,97.1,6,39
2020-06,978,51.8,96.1,20,20
2020-07,784,50.23,96.0,55,45
2020-08,980,46.61,93.9,46,44
2020-09,784,45.97,93.4,133,55
2020-10,784,46.17,89.7,107,57
2020-11,980,40.86,90.0,79,44
2020-12,784,31.12,87.5,59,21
2021-01,784,27.74,88.6,64,11
2021-02,784,20.9,80.9,72,16
2021-03,980,16.08,73.2,73,43
2021-04,784,14.23,68.2,32,4
2021-05,980,3.41,49.4,102,13
2021-06,784,-2.39,41.8,76,9
2021-07,784,-4.16,40.7,52,16
2021-08,980,-0.02,44.7,109,39
2021-09,786,-5.31,37.4,123,44
2021-10,788,-8.22,31.9,134,34
2021-11,985,-3.91,38.2,62,66
2021-12,788,-3.75,39.7,104,62
2022-01,985,-3.12,42.7,171,67
2022-02,788,-0.16,48.0,107,121
2022-03,788,-3.12,41.8,74,83
2022-04,788,-2.35,43.0,88,91
2022-05,985,4.05,53.8,165,201
2022-06,788,14.59,68.8,68,218
2022-07,788,20.49,76.8,82,140
2022-08,985,11.21,62.8,22,43
2022-09,788,15.64,67.1,51,122
2022-10,985,16.34,71.3,190,217
2022-11,788,13.42,61.3,12,52
2022-12,788,20.42,68.9,37,36
2023-01,985,19.88,68.5,97,19
2023-02,788,20.19,67.0,77,43
2023-03,788,29.43,80.3,147,89
2023-04,788,23.03,75.3,34,44
2023-05,985,25.4,80.1,78,109
2023-06,788,23.07,78.7,77,35
2023-07,985,20.03,75.4,46,25
2023-08,788,20.77,80.2,182,48
2023-09,788,24.41,83.8,91,67
2023-10,985,33.9,87.3,197,105
2023-11,788,30.96,85.2,48,46
2023-12,788,21.74,76.3,31,18
2024-01,985,17.68,72.2,53,21
2024-02,788,18.3,73.4,73,42
2024-03,788,9.33,65.2,66,31
2024-04,985,6.28,61.7,200,49
2024-05,788,9.41,64.8,70,37
2024-06,788,11.96,67.8,95,43
2024-07,985,14.04,69.1,93,53
2024-08,788,15.26,69.4,150,47
2024-09,985,13.88,66.7,86,56
2024-10,788,12.49,63.7,88,40
2024-11,788,10.9,63.5,112,81
2024-12,788,13.94,70.8,84,112
