archetype,decision,count,avg_return_pct,win_rate_pct,avg_excess_spy_pct
HYPER_GROWTH,AVOID_BAD_BUSINESS,643,9.22,64.5,4.57
HYPER_GROWTH,BUY_NOW,1241,5.25,59.8,2.45
HYPER_GROWTH,BUY_ON_PULLBACK,136,11.72,68.4,7.34
HYPER_GROWTH,BUY_STARTER,2131,7.24,60.8,3.98
HYPER_GROWTH,WATCHLIST_NEEDS_CONFIRMATION,1909,6.7,60.2,2.79
MATURE_VALUE,AVOID_BAD_BUSINESS,592,3.09,58.8,-5.23
MATURE_VALUE,BUY_NOW,54,4.71,64.8,-1.24
MATURE_VALUE,BUY_ON_PULLBACK,33,4.58,72.7,-2.69
MATURE_VALUE,BUY_STARTER,317,2.39,56.2,-4.28
MATURE_VALUE,WATCHLIST_NEEDS_CONFIRMATION,567,1.47,54.3,-5.51
PROFITABLE_GROWTH,AVOID_BAD_BUSINESS,17513,6.01,64.1,1.19
PROFITABLE_GROWTH,BUY_NOW,7629,2.22,58.5,-0.38
PROFITABLE_GROWTH,BUY_ON_PULLBACK,1881,5.99,61.2,2.08
PROFITABLE_GROWTH,BUY_STARTER,20088,2.69,58.3,0.0
PROFITABLE_GROWTH,WATCHLIST_NEEDS_CONFIRMATION,22672,3.52,59.7,0.03
SPECULATIVE_STORY,AVOID_BAD_BUSINESS,50,21.52,84.0,10.82
SPECULATIVE_STORY,BUY_NOW,100,4.17,55.0,-2.89
SPECULATIVE_STORY,BUY_ON_PULLBACK,21,15.47,52.4,4.97
SPECULATIVE_STORY,BUY_STARTER,221,5.25,54.8,-2.09
SPECULATIVE_STORY,WATCHLIST_NEEDS_CONFIRMATION,167,10.02,56.3,0.86
TURNAROUND,AVOID_BAD_BUSINESS,197,4.37,57.4,-1.64
TURNAROUND,BUY_NOW,132,3.43,63.6,-2.87
TURNAROUND,BUY_ON_PULLBACK,7,7.25,57.1,-0.61
TURNAROUND,BUY_STARTER,373,4.58,64.3,-2.36
TURNAROUND,WATCHLIST_NEEDS_CONFIRMATION,313,4.31,63.9,-2.38
