regime,decision,count,avg_return_pct,win_rate_pct,avg_excess_spy_pct
BEAR_RISK_OFF,BROKEN_SUPPORT_AVOID,2669,16.84,79.6,5.02
BEAR_RISK_OFF,OVERSOLD_REBOUND_CANDIDATE,116,1.19,53.4,0.45
BEAR_RISK_OFF,TRUE_DOWNTREND_AVOID,1753,8.05,71.1,2.04
BEAR_RISK_OFF,WATCHLIST,7381,5.66,64.5,0.02
BULL_NARROW_LEADERSHIP,BROKEN_SUPPORT_AVOID,20,2.67,55.0,5.09
BULL_NARROW_LEADERSHIP,BUY_ON_PULLBACK,20,-4.3,40.0,-6.69
BULL_NARROW_LEADERSHIP,OVERSOLD_REBOUND_CANDIDATE,8,10.15,87.5,8.45
BULL_NARROW_LEADERSHIP,TRUE_DOWNTREND_AVOID,54,-5.05,44.4,1.88
BULL_NARROW_LEADERSHIP,WAIT_FOR_PULLBACK,74,-0.79,47.3,-3.58
BULL_NARROW_LEADERSHIP,WATCHLIST,803,0.16,49.4,-1.17
BULL_RISK_ON,BROKEN_SUPPORT_AVOID,1006,-0.05,47.9,-1.56
BULL_RISK_ON,BUY_ON_PULLBACK,2601,2.52,56.7,0.05
BULL_RISK_ON,BUY_STARTER_STRONG_BUT_EXTENDED,264,13.83,72.3,7.4
BULL_RISK_ON,OVERSOLD_REBOUND_CANDIDATE,672,2.55,54.5,0.49
BULL_RISK_ON,TRUE_DOWNTREND_AVOID,2271,1.94,53.7,0.0
BULL_RISK_ON,WAIT_FOR_PULLBACK,4195,2.15,57.4,0.05
BULL_RISK_ON,WATCHLIST,37936,2.78,58.0,0.03
LIQUIDITY_RALLY,BROKEN_SUPPORT_AVOID,56,26.7,78.6,18.01
LIQUIDITY_RALLY,BUY_ON_PULLBACK,134,7.89,73.1,-0.21
LIQUIDITY_RALLY,BUY_STARTER_STRONG_BUT_EXTENDED,7,34.96,100.0,24.39
LIQUIDITY_RALLY,OVERSOLD_REBOUND_CANDIDATE,18,13.06,72.2,4.82
LIQUIDITY_RALLY,TRUE_DOWNTREND_AVOID,101,6.64,63.4,2.95
LIQUIDITY_RALLY,WAIT_FOR_PULLBACK,141,4.83,66.0,-2.58
LIQUIDITY_RALLY,WATCHLIST,1895,8.41,67.1,2.37
SIDEWAYS_CHOPPY,BROKEN_SUPPORT_AVOID,1116,5.53,60.1,1.65
SIDEWAYS_CHOPPY,BUY_ON_PULLBACK,1408,4.26,62.6,-0.64
SIDEWAYS_CHOPPY,BUY_STARTER_STRONG_BUT_EXTENDED,54,-1.52,37.0,-5.71
SIDEWAYS_CHOPPY,OVERSOLD_REBOUND_CANDIDATE,513,5.66,69.6,0.49
SIDEWAYS_CHOPPY,TRUE_DOWNTREND_AVOID,1780,7.0,67.0,2.24
SIDEWAYS_CHOPPY,WAIT_FOR_PULLBACK,471,2.68,56.7,-1.29
SIDEWAYS_CHOPPY,WATCHLIST,9450,4.41,62.0,0.56
