month,signals,avg_return_pct,win_rate_pct,buy_signals,avoid_signals
2018-01,940,-3.84,31.0,53,45
2018-02,752,1.4,54.3,155,109
2018-03,756,2.68,58.7,60,111
2018-04,945,6.16,71.7,144,188
2018-05,756,5.71,72.6,33,68
2018-06,756,5.48,72.1,44,46
2018-07,945,0.66,54.6,120,71
2018-08,756,-3.7,37.6,81,58
2018-09,756,-9.66,24.3,43,71
2018-10,950,-3.77,40.6,125,267
2018-11,760,4.96,68.8,28,223
2018-12,950,12.93,84.8,8,422
2019-01,764,12.92,87.6,7,76
2019-02,764,4.14,66.5,10,14
2019-03,764,2.75,60.7,26,32
2019-04,959,3.89,65.8,48,51
2019-05,768,2.42,56.8,138,133
2019-06,768,5.34,72.5,43,137
2019-07,960,0.79,53.1,56,39
2019-08,768,8.23,74.7,163,153
2019-09,960,7.3,73.3,72,62
2019-10,768,10.11,80.3,52,46
2019-11,768,4.83,67.1,39,34
2019-12,964,-17.65,19.1,101,26
2020-01,772,-15.72,17.4,23,29
2020-02,772,-12.83,21.1,88,118
2020-03,967,24.45,84.5,21,731
2020-04,778,16.8,86.4,0,259
2020-05,780,15.76,86.4,3,43
2020-06,978,8.27,71.4,17,23
2020-07,784,8.65,76.0,46,54
2020-08,980,7.22,67.4,40,50
2020-09,784,17.45,83.8,111,87
2020-10,784,18.03,79.0,85,81
2020-11,980,14.66,75.5,64,71
2020-12,784,10.57,75.6,50,30
2021-01,784,11.75,85.7,61,14
2021-02,784,11.5,82.0,67,21
2021-03,980,9.57,83.1,67,49
2021-04,784,5.54,68.1,32,4
2021-05,980,5.46,64.1,95,20
2021-06,784,3.01,59.8,73,12
2021-07,784,3.15,58.9,48,20
2021-08,980,4.76,60.2,85,63
2021-09,786,4.88,62.7,102,81
2021-10,788,4.51,67.3,99,84
2021-11,985,-2.39,44.3,44,84
2021-12,788,-1.3,41.2,71,104
2022-01,985,-1.58,42.3,125,154
2022-02,788,-5.35,35.0,40,235
2022-03,788,-8.53,27.4,13,251
2022-04,788,-11.73,15.9,65,146
2022-05,985,1.14,55.8,24,420
2022-06,788,0.06,50.1,13,390
2022-07,788,-4.05,34.4,21,224
2022-08,985,-0.42,48.3,11,68
2022-09,788,5.65,65.7,29,264
2022-10,985,11.87,80.8,6,456
2022-11,788,5.01,64.8,0,76
2022-12,788,1.22,45.2,20,81
2023-01,985,3.12,55.3,96,78
2023-02,788,-0.41,42.8,58,62
2023-03,788,6.59,65.7,66,200
2023-04,788,6.86,65.1,21,57
2023-05,985,6.55,65.0,43,144
2023-06,788,2.27,54.7,52,60
2023-07,985,-6.15,25.1,40,31
2023-08,788,-0.26,47.3,136,101
2023-09,788,6.77,71.2,62,122
2023-10,985,14.43,86.4,87,303
2023-11,788,12.79,80.8,23,71
2023-12,788,9.73,76.6,29,20
2024-01,985,6.14,69.1,48,26
2024-02,788,5.67,69.3,50,65
2024-03,788,2.36,55.5,48,49
2024-04,985,4.29,60.9,171,99
2024-05,788,2.27,60.7,56,51
2024-06,788,4.59,69.2,59,79
2024-07,985,5.71,70.8,77,69
2024-08,788,7.42,70.1,101,125
2024-09,985,3.77,55.0,61,90
2024-10,788,1.16,48.2,78,50
2024-11,788,1.7,52.5,83,110
2024-12,985,-1.51,44.7,98,205
2025-01,788,-7.38,32.4,49,139
2025-02,788,-2.35,42.3,59,85
2025-03,987,4.05,59.7,123,232
2025-04,792,17.0,85.4,2,407
2025-05,792,7.9,72.3,35,90
2025-06,990,6.81,69.2,94,36
2025-07,792,4.29,57.8,96,35
2025-08,792,4.46,54.4,143,87
2025-09,990,4.77,57.5,163,69
