archetype,decision,count,avg_return_pct,win_rate_pct,avg_excess_spy_pct
HYPER_GROWTH,AVOID_BAD_CHART,1666,2.64,57.7,0.95
HYPER_GROWTH,BUY_NOW_MOMENTUM,1181,1.65,58.5,0.83
HYPER_GROWTH,BUY_STARTER_STRONG_BUT_EXTENDED,556,2.94,56.7,1.86
HYPER_GROWTH,WAIT_FOR_PULLBACK,1758,2.06,56.5,1.1
HYPER_GROWTH,WATCHLIST,1031,1.9,56.3,0.8
MATURE_VALUE,AVOID_BAD_CHART,664,1.73,57.4,-0.63
MATURE_VALUE,BUY_NOW_MOMENTUM,402,-0.15,50.2,-1.78
MATURE_VALUE,BUY_STARTER_STRONG_BUT_EXTENDED,70,2.17,60.0,0.58
MATURE_VALUE,WAIT_FOR_PULLBACK,632,0.4,54.3,-1.46
MATURE_VALUE,WATCHLIST,329,0.79,54.1,-1.25
PROFITABLE_GROWTH,AVOID_BAD_CHART,18428,2.43,60.5,0.52
PROFITABLE_GROWTH,BUY_NOW_MOMENTUM,16903,0.5,55.7,-0.19
PROFITABLE_GROWTH,BUY_STARTER_STRONG_BUT_EXTENDED,3272,0.97,55.3,0.19
PROFITABLE_GROWTH,WAIT_FOR_PULLBACK,20137,0.77,55.2,-0.04
PROFITABLE_GROWTH,WATCHLIST,11724,1.29,56.6,0.01
SPECULATIVE_STORY,AVOID_BAD_CHART,102,6.86,65.7,4.16
SPECULATIVE_STORY,BUY_NOW_MOMENTUM,152,-0.14,46.7,-2.16
SPECULATIVE_STORY,BUY_STARTER_STRONG_BUT_EXTENDED,80,3.5,68.8,1.42
SPECULATIVE_STORY,WAIT_FOR_PULLBACK,199,2.07,51.3,-0.17
SPECULATIVE_STORY,WATCHLIST,83,1.71,55.4,-1.05
TURNAROUND,AVOID_BAD_CHART,328,2.03,59.5,-0.12
TURNAROUND,BUY_NOW_MOMENTUM,383,0.93,57.4,-1.01
TURNAROUND,BUY_STARTER_STRONG_BUT_EXTENDED,44,-0.66,43.2,-1.5
TURNAROUND,WAIT_FOR_PULLBACK,428,1.38,55.1,-0.53
TURNAROUND,WATCHLIST,217,2.51,65.4,0.37
