regime,decision,count,avg_return_pct,win_rate_pct,avg_excess_spy_pct
BEAR_RISK_OFF,BROKEN_SUPPORT_AVOID,219,4.19,66.7,0.26
BEAR_RISK_OFF,BUY_NOW_CONTINUATION,7,-1.25,42.9,-1.07
BEAR_RISK_OFF,BUY_ON_PULLBACK,147,0.78,52.4,-2.28
BEAR_RISK_OFF,BUY_STARTER_STRONG_BUT_EXTENDED,100,-0.31,47.0,-0.28
BEAR_RISK_OFF,OVERSOLD_REBOUND_CANDIDATE,92,7.68,69.6,-1.0
BEAR_RISK_OFF,TRUE_DOWNTREND_AVOID,6173,5.78,70.1,1.24
BEAR_RISK_OFF,WAIT_FOR_PULLBACK,2883,1.6,57.8,-0.26
BEAR_RISK_OFF,WATCHLIST,2298,2.59,62.1,0.03
BULL_NARROW_LEADERSHIP,BROKEN_SUPPORT_AVOID,3,-2.69,33.3,-3.47
BULL_NARROW_LEADERSHIP,BUY_NOW_CONTINUATION,1,-2.27,0.0,-6.05
BULL_NARROW_LEADERSHIP,BUY_ON_PULLBACK,6,3.14,83.3,1.87
BULL_NARROW_LEADERSHIP,BUY_STARTER_STRONG_BUT_EXTENDED,117,0.9,59.0,-0.76
BULL_NARROW_LEADERSHIP,OVERSOLD_REBOUND_CANDIDATE,3,4.99,100.0,3.63
BULL_NARROW_LEADERSHIP,TRUE_DOWNTREND_AVOID,128,1.61,52.3,1.27
BULL_NARROW_LEADERSHIP,WAIT_FOR_PULLBACK,603,1.39,56.4,0.34
BULL_NARROW_LEADERSHIP,WATCHLIST,118,-0.5,46.6,-1.29
BULL_RISK_ON,BROKEN_SUPPORT_AVOID,283,1.59,59.0,1.09
BULL_RISK_ON,BUY_NOW_CONTINUATION,175,0.22,56.6,-0.19
BULL_RISK_ON,BUY_ON_PULLBACK,717,0.64,55.2,-0.36
BULL_RISK_ON,BUY_STARTER_STRONG_BUT_EXTENDED,7170,0.71,55.8,-0.06
BULL_RISK_ON,OVERSOLD_REBOUND_CANDIDATE,144,-0.12,47.2,-0.2
BULL_RISK_ON,TRUE_DOWNTREND_AVOID,7982,1.17,56.6,0.13
BULL_RISK_ON,WAIT_FOR_PULLBACK,26368,0.8,55.3,-0.1
BULL_RISK_ON,WATCHLIST,7492,0.93,54.4,-0.25
LIQUIDITY_RALLY,BROKEN_SUPPORT_AVOID,9,-0.72,33.3,-2.95
LIQUIDITY_RALLY,BUY_NOW_CONTINUATION,2,-5.29,50.0,-6.15
LIQUIDITY_RALLY,BUY_ON_PULLBACK,75,1.81,62.7,0.97
LIQUIDITY_RALLY,BUY_STARTER_STRONG_BUT_EXTENDED,199,1.72,64.3,1.99
LIQUIDITY_RALLY,OVERSOLD_REBOUND_CANDIDATE,9,8.26,66.7,4.1
LIQUIDITY_RALLY,TRUE_DOWNTREND_AVOID,348,0.14,50.3,-0.46
LIQUIDITY_RALLY,WAIT_FOR_PULLBACK,1322,1.17,55.1,0.74
LIQUIDITY_RALLY,WATCHLIST,388,1.17,57.7,0.02
SIDEWAYS_CHOPPY,BROKEN_SUPPORT_AVOID,248,-1.05,49.6,-0.91
SIDEWAYS_CHOPPY,BUY_NOW_CONTINUATION,52,1.56,53.8,-0.34
SIDEWAYS_CHOPPY,BUY_ON_PULLBACK,322,1.82,59.6,-0.51
SIDEWAYS_CHOPPY,BUY_STARTER_STRONG_BUT_EXTENDED,605,-0.24,50.1,0.13
SIDEWAYS_CHOPPY,OVERSOLD_REBOUND_CANDIDATE,153,-2.48,46.4,-0.6
SIDEWAYS_CHOPPY,TRUE_DOWNTREND_AVOID,5758,0.95,55.9,0.41
SIDEWAYS_CHOPPY,WAIT_FOR_PULLBACK,4669,0.65,56.1,0.5
SIDEWAYS_CHOPPY,WATCHLIST,3381,0.78,55.8,0.41
