month,signals,avg_return_pct,win_rate_pct,buy_signals,avoid_signals
2018-01,940,-1.98,34.1,307,0
2018-02,752,0.77,52.7,25,0
2018-03,756,-1.81,35.3,30,0
2018-04,945,2.34,64.7,23,0
2018-05,756,2.0,65.2,67,0
2018-06,756,1.06,57.7,83,0
2018-07,945,2.52,70.6,86,0
2018-08,756,1.58,66.0,106,0
2018-09,756,-2.57,35.4,104,0
2018-10,950,-2.48,44.3,41,0
2018-11,760,-4.18,29.5,27,0
2018-12,950,2.73,61.6,21,0
2019-01,764,6.88,87.6,16,0
2019-02,764,2.22,70.0,159,0
2019-03,764,3.44,77.4,141,0
2019-04,959,-1.44,45.7,213,0
2019-05,768,1.9,66.1,43,0
2019-06,768,4.58,82.6,110,0
2019-07,960,-2.13,36.9,128,0
2019-08,768,3.62,73.2,24,0
2019-09,960,0.32,52.5,87,0
2019-10,768,4.2,70.1,75,0
2019-11,768,2.09,69.8,161,0
2019-12,964,2.87,72.2,132,0
2020-01,772,-0.2,49.2,147,0
2020-02,772,-21.56,6.1,94,0
2020-03,967,7.3,67.2,0,0
2020-04,778,6.76,72.0,6,0
2020-05,780,9.8,88.5,8,0
2020-06,978,1.22,58.4,68,0
2020-07,784,5.12,76.0,108,0
2020-08,980,-0.19,46.8,164,0
2020-09,784,2.78,65.6,29,0
2020-10,784,5.51,64.3,106,0
2020-11,980,6.8,71.2,60,0
2020-12,784,3.5,64.2,97,0
2021-01,784,3.47,62.0,90,0
2021-02,784,3.56,64.5,98,0
2021-03,980,4.19,74.7,191,0
2021-04,784,2.58,67.6,157,0
2021-05,980,1.9,56.1,156,0
2021-06,784,0.95,56.1,78,0
2021-07,784,2.08,62.6,84,0
2021-08,980,-0.59,43.9,143,0
2021-09,786,1.18,51.1,44,0
2021-10,788,4.55,72.8,91,0
2021-11,985,-0.53,48.3,110,0
2021-12,788,1.1,59.0,68,0
2022-01,985,-2.95,33.6,85,0
2022-02,788,-0.02,49.9,18,0
2022-03,788,2.52,64.3,52,0
2022-04,788,-7.41,16.8,70,0
2022-05,985,-2.86,35.8,13,0
2022-06,788,-0.46,53.9,2,0
2022-07,788,7.57,83.9,10,0
2022-08,985,-5.26,20.3,67,0
2022-09,788,-4.33,28.8,1,0
2022-10,985,8.05,82.7,5,0
2022-11,788,0.18,53.7,3,0
2022-12,788,2.28,58.9,26,0
2023-01,985,2.66,56.0,97,0
2023-02,788,-3.45,29.3,51,0
2023-03,788,3.58,76.4,32,0
2023-04,788,-0.9,43.5,113,0
2023-05,985,2.73,59.5,94,0
2023-06,788,4.26,79.2,91,0
2023-07,985,-0.58,43.6,169,0
2023-08,788,-1.17,40.2,42,0
2023-09,788,-3.6,23.6,41,0
2023-10,985,3.48,65.0,22,0
2023-11,788,6.89,85.0,145,0
2023-12,788,2.14,65.9,227,0
2024-01,985,2.17,61.6,209,0
2024-02,788,3.58,76.9,164,0
2024-03,788,0.25,48.9,166,0
2024-04,985,1.39,55.3,90,0
2024-05,788,0.28,47.6,112,0
2024-06,788,2.13,62.7,75,0
2024-07,985,-0.02,55.3,114,0
2024-08,788,2.98,72.3,71,0
2024-09,985,2.1,61.9,198,0
2024-10,788,1.5,55.7,91,0
2024-11,788,0.26,45.4,117,0
2024-12,985,-0.31,44.0,47,0
2025-01,788,3.13,64.5,60,0
2025-02,788,-2.83,39.3,100,0
2025-03,987,-5.52,24.1,55,0
2025-04,792,9.01,81.2,4,0
2025-05,792,3.02,67.4,53,0
2025-06,990,3.79,72.2,114,0
2025-07,792,0.19,53.7,130,0
2025-08,792,2.29,60.6,87,0
2025-09,990,1.97,55.2,101,0
2025-10,792,-0.67,43.7,82,0
2025-11,792,2.61,62.0,51,0
2025-12,198,2.1,60.6,18,0
