month,signals,avg_return_pct,win_rate_pct,buy_signals,avoid_signals
2021-01,12,9.74,83.3,7,0
2021-02,12,4.79,50.0,8,0
2021-03,15,16.87,93.3,6,3
2021-04,12,14.07,91.7,10,0
2021-05,15,17.97,66.7,8,1
2021-06,12,11.61,91.7,8,1
2021-07,12,6.96,83.3,9,0
2021-08,15,18.32,93.3,11,0
2021-09,12,17.79,83.3,8,0
2021-10,12,12.46,66.7,8,1
2021-11,15,-6.12,26.7,10,0
2021-12,12,-10.94,0.0,7,3
2022-01,15,-12.37,6.7,6,2
2022-02,12,-19.59,0.0,1,2
2022-03,12,-18.54,8.3,2,7
2022-04,12,-17.72,0.0,2,6
2022-05,15,1.43,60.0,0,12
2022-06,12,-4.41,50.0,0,10
2022-07,12,-9.33,16.7,0,5
2022-08,15,-3.29,40.0,4,3
2022-09,12,9.26,66.7,0,7
2022-10,15,18.43,66.7,0,8
2022-11,12,19.96,100.0,3,2
2022-12,12,22.45,75.0,2,2
2023-01,15,28.26,80.0,7,3
2023-02,12,19.33,66.7,12,0
2023-03,12,30.81,91.7,8,0
2023-04,12,30.65,100.0,9,0
2023-05,15,20.94,100.0,11,0
2023-06,12,4.85,75.0,11,0
2023-07,15,-5.45,20.0,15,0
2023-08,12,2.39,66.7,6,0
2023-09,12,8.75,91.7,4,0
2023-10,15,18.33,100.0,3,3
2023-11,12,25.42,75.0,9,0
2023-12,12,32.94,66.7,10,0
