regime,decision,count,avg_return_pct,win_rate_pct,avg_excess_spy_pct
BEAR_RISK_OFF,AVOID_BAD_CHART,64,3.24,54.7,1.48
BEAR_RISK_OFF,WAIT_FOR_PULLBACK,14,-1.46,42.9,-0.44
BEAR_RISK_OFF,WATCHLIST,21,2.9,57.1,2.21
BULL_NARROW_LEADERSHIP,AVOID_BAD_CHART,2,4.46,50.0,2.5
BULL_NARROW_LEADERSHIP,BUY_NOW_MOMENTUM,2,2.38,100.0,3.11
BULL_NARROW_LEADERSHIP,BUY_STARTER_STRONG_BUT_EXTENDED,3,9.49,66.7,8.72
BULL_NARROW_LEADERSHIP,WAIT_FOR_PULLBACK,5,4.36,80.0,3.84
BULL_RISK_ON,AVOID_BAD_CHART,17,7.37,76.5,5.86
BULL_RISK_ON,BUY_NOW_MOMENTUM,96,2.7,60.4,1.68
BULL_RISK_ON,BUY_STARTER_STRONG_BUT_EXTENDED,44,6.07,70.5,4.84
BULL_RISK_ON,WAIT_FOR_PULLBACK,67,1.44,59.7,0.51
BULL_RISK_ON,WATCHLIST,34,3.57,64.7,1.63
LIQUIDITY_RALLY,AVOID_BAD_CHART,1,-12.02,0.0,-3.29
LIQUIDITY_RALLY,WAIT_FOR_PULLBACK,2,-22.06,0.0,-13.33
SIDEWAYS_CHOPPY,AVOID_BAD_CHART,38,0.31,47.4,0.66
SIDEWAYS_CHOPPY,BUY_NOW_MOMENTUM,5,4.75,100.0,0.55
SIDEWAYS_CHOPPY,WAIT_FOR_PULLBACK,32,-1.8,40.6,-0.99
SIDEWAYS_CHOPPY,WATCHLIST,21,1.42,42.9,2.21
