ticker,date,path_taken,decision,score,fwd_return_20d,fwd_return_60d,reasons
NVDA,2022-01-03,deteriorating_business,WATCHLIST,15.0,-18.2,-8.06,[+15] Debt/equity > 2.0: elevated leverage risk
NVDA,2022-02-01,deteriorating_business,WATCHLIST,15.0,-1.68,-19.7,[+15] Debt/equity > 2.0: elevated leverage risk
NVDA,2022-03-02,deteriorating_business,WATCHLIST,15.0,14.33,-26.3,[+15] Debt/equity > 2.0: elevated leverage risk
NVDA,2022-03-30,deteriorating_business,WATCHLIST,15.0,-28.56,-39.07,[+15] Debt/equity > 2.0: elevated leverage risk
NVDA,2022-04-28,deteriorating_business,WATCHLIST,23.0,-9.76,-16.41,[+15] Debt/equity > 2.0: elevated leverage risk; [+8] Price > 15% below SMA200: structural breakdown
NVDA,2022-05-26,deteriorating_business,WATCHLIST,23.0,-5.48,-3.73,[+15] Debt/equity > 2.0: elevated leverage risk; [+8] Price > 15% below SMA200: structural breakdown
NVDA,2022-06-27,deteriorating_business,WATCHLIST,23.0,-1.99,-21.36,[+15] Debt/equity > 2.0: elevated leverage risk; [+8] Price > 15% below SMA200: structural breakdown
NVDA,2022-07-26,deteriorating_business,WATCHLIST,23.0,3.92,-27.09,[+15] Debt/equity > 2.0: elevated leverage risk; [+8] Price > 15% below SMA200: structural breakdown
NVDA,2022-08-23,deteriorating_business,WATCHLIST,23.0,-22.79,-7.37,[+15] Debt/equity > 2.0: elevated leverage risk; [+8] Price > 15% below SMA200: structural breakdown
NVDA,2022-09-21,deteriorating_business,WATCHLIST,23.0,-9.12,27.87,[+15] Debt/equity > 2.0: elevated leverage risk; [+8] Price > 15% below SMA200: structural breakdown
NVDA,2022-10-19,deteriorating_business,WATCHLIST,23.0,32.02,46.93,[+15] Debt/equity > 2.0: elevated leverage risk; [+8] Price > 15% below SMA200: structural breakdown
NVDA,2022-11-16,deteriorating_business,WATCHLIST,15.0,6.58,44.42,[+15] Debt/equity > 2.0: elevated leverage risk
NVDA,2022-12-15,deteriorating_business,WATCHLIST,15.0,4.42,42.95,[+15] Debt/equity > 2.0: elevated leverage risk
NVDA,2023-01-17,deteriorating_business,WATCHLIST,15.0,29.76,49.52,[+15] Debt/equity > 2.0: elevated leverage risk
NVDA,2023-02-14,deteriorating_business,WATCHLIST,15.0,5.49,24.43,[+15] Debt/equity > 2.0: elevated leverage risk
NVDA,2023-03-15,deteriorating_business,WATCHLIST,15.0,9.22,60.04,[+15] Debt/equity > 2.0: elevated leverage risk
NVDA,2023-04-13,deteriorating_business,WATCHLIST,15.0,7.99,60.26,[+15] Debt/equity > 2.0: elevated leverage risk
NVDA,2023-05-11,deteriorating_business,WATCHLIST,15.0,35.68,56.3,[+15] Debt/equity > 2.0: elevated leverage risk
NVDA,2023-06-09,deteriorating_business,WATCHLIST,15.0,9.38,21.4,[+15] Debt/equity > 2.0: elevated leverage risk
NVDA,2023-07-11,deteriorating_business,WATCHLIST,15.0,5.33,3.87,[+15] Debt/equity > 2.0: elevated leverage risk
NVDA,2023-08-08,deteriorating_business,WATCHLIST,15.0,5.38,-5.23,[+15] Debt/equity > 2.0: elevated leverage risk
NVDA,2023-09-06,deteriorating_business,WATCHLIST,15.0,-6.42,-0.62,[+15] Debt/equity > 2.0: elevated leverage risk
NVDA,2023-10-04,deteriorating_business,WATCHLIST,15.0,-3.9,12.46,[+15] Debt/equity > 2.0: elevated leverage risk
NVDA,2023-11-01,deteriorating_business,WATCHLIST,15.0,10.5,48.33,[+15] Debt/equity > 2.0: elevated leverage risk
NVDA,2023-11-30,deteriorating_business,WATCHLIST,15.0,5.89,66.07,[+15] Debt/equity > 2.0: elevated leverage risk
NVDA,2023-12-29,deteriorating_business,WATCHLIST,15.0,26.76,82.25,[+15] Debt/equity > 2.0: elevated leverage risk
AAPL,2022-01-03,deteriorating_business,WATCHLIST,25.0,-4.07,-2.21,[+10] Revenue QoQ negative: sequential deceleration; [+15] Debt/equity > 2.0: elevated leverage risk
AAPL,2022-02-01,deteriorating_business,WATCHLIST,25.0,-4.49,-6.16,[+10] Revenue QoQ negative: sequential deceleration; [+15] Debt/equity > 2.0: elevated leverage risk
AAPL,2022-03-02,deteriorating_business,WATCHLIST,25.0,6.73,-13.55,[+10] Revenue QoQ negative: sequential deceleration; [+15] Debt/equity > 2.0: elevated leverage risk
AAPL,2022-03-30,deteriorating_business,WATCHLIST,25.0,-7.95,-20.2,[+10] Revenue QoQ negative: sequential deceleration; [+15] Debt/equity > 2.0: elevated leverage risk
AAPL,2022-04-28,deteriorating_business,WATCHLIST,25.0,-12.01,-7.22,[+10] Revenue QoQ negative: sequential deceleration; [+15] Debt/equity > 2.0: elevated leverage risk
AAPL,2022-05-26,deteriorating_business,WATCHLIST,25.0,-1.47,16.47,[+10] Revenue QoQ negative: sequential deceleration; [+15] Debt/equity > 2.0: elevated leverage risk
AAPL,2022-06-27,deteriorating_business,WATCHLIST,25.0,7.02,8.66,[+10] Revenue QoQ negative: sequential deceleration; [+15] Debt/equity > 2.0: elevated leverage risk
AAPL,2022-07-26,deteriorating_business,WATCHLIST,25.0,10.46,-4.97,[+10] Revenue QoQ negative: sequential deceleration; [+15] Debt/equity > 2.0: elevated leverage risk
AAPL,2022-08-23,deteriorating_business,WATCHLIST,25.0,-8.08,-10.88,[+10] Revenue QoQ negative: sequential deceleration; [+15] Debt/equity > 2.0: elevated leverage risk
AAPL,2022-09-21,deteriorating_business,WATCHLIST,25.0,-6.41,-11.05,[+10] Revenue QoQ negative: sequential deceleration; [+15] Debt/equity > 2.0: elevated leverage risk
