feature,auc,separation,top_minus_bottom_winrate_pts,monotonic,n,already_used,max_corr_to_used,most_corr_with,orthogonal
is_extended,0.0,1.0,,False,334,False,0.0,,True
entry_wait_days,0.0,1.0,,False,334,False,0.0,,True
mfe_capture_pct,1.0,1.0,50.8,True,316,False,0.11,dist_from_52w_high,True
days_held,0.989,0.978,48.5,True,334,False,0.09,breakout_volume_multiple,True
mfe_pct,0.971,0.941,45.5,True,334,False,0.34,sma50_slope,True
target_1_hit,0.079,0.841,,False,334,False,0.09,volume_dryup_ratio,True
partial_exit_pct,0.079,0.841,,False,334,False,0.09,volume_dryup_ratio,True
event_count,0.086,0.828,,False,334,False,0.1,volume_dryup_ratio,True
position_size_multiplier,0.158,0.684,,False,334,False,0.28,rsi14,True
dividend_yield,0.166,0.669,-21.4,False,136,False,0.18,rsi14,True
mae_pct,0.807,0.614,28.4,False,334,False,0.37,dist_from_52w_high,True
regime_confidence,0.213,0.575,,False,334,False,0.97,sma50_relative,False
earnings_within_30_days,0.258,0.483,,False,334,False,0.08,updown_volume_ratio,True
change_from_open_percent,0.308,0.383,-13.2,False,334,False,0.24,breakout_volume_multiple,True
sales_growth_yoy,0.366,0.268,-8.6,False,334,False,0.16,dist_from_52w_high,True
perf_1y,0.368,0.265,-3.0,False,330,False,0.79,dist_from_52w_high,False
analyst_recommendation,0.623,0.246,6.1,False,330,False,0.12,updown_volume_ratio,True
current_ratio,0.611,0.222,2.5,False,334,False,0.25,dist_from_52w_high,True
rsi14,0.396,0.208,-11.6,False,334,True,0.93,sma50_relative,False
ev_to_ebitda,0.4,0.2,-4.2,False,334,False,0.09,sma50_slope,True
gross_margin,0.406,0.189,-7.0,False,334,False,0.25,breakout_volume_multiple,True
dist_from_20d_high,0.409,0.183,-13.1,False,334,True,0.95,rs_vs_spy_20d,False
max_drawdown_3m,0.414,0.173,-11.5,False,334,False,0.98,sma50_relative,False
sma50_slope,0.416,0.167,-13.0,False,334,True,0.94,sma50_relative,False
atr_percent,0.577,0.153,7.7,False,334,False,0.9,dist_from_20d_high,False
institutional_ownership,0.574,0.149,4.6,False,332,False,0.15,dist_from_20d_high,True
perf_3m,0.427,0.146,-5.6,False,334,False,0.96,sma50_slope,False
max_drawdown_1y,0.432,0.135,-2.6,False,334,False,1.0,dist_from_52w_high,False
analyst_target_price,0.566,0.131,6.4,False,332,False,0.11,breakout_volume_multiple,True
price_to_sales,0.434,0.131,-11.7,False,334,False,0.04,rs_vs_spy_20d,True
dist_from_52w_high,0.435,0.13,-2.6,False,334,True,0.95,sma50_relative,False
sma50_relative,0.437,0.127,-11.5,False,334,True,0.95,dist_from_52w_high,False
extension_pct_above_50ma,0.437,0.127,-11.5,False,334,False,1.0,sma50_relative,False
net_margin,0.44,0.12,0.7,False,334,False,0.23,breakout_volume_multiple,True
rs_vs_spy_63d,0.441,0.118,-8.6,False,334,False,0.95,sma50_slope,False
sma200_relative,0.443,0.114,-5.6,False,334,False,0.96,dist_from_52w_high,False
sma200_slope,0.447,0.106,-1.2,False,334,False,0.89,dist_from_52w_high,False
updown_volume_ratio,0.45,0.101,-5.7,False,334,True,0.77,rsi14,False
extension_pct_above_20ma,0.45,0.1,-2.7,False,334,False,1.0,sma20_relative,False
sma20_relative,0.45,0.1,-2.7,False,334,True,0.91,dist_from_20d_high,False
perf_1m,0.451,0.098,-7.1,False,334,False,0.98,rs_vs_spy_20d,False
roic,0.547,0.094,5.6,False,334,False,0.22,volume_dryup_ratio,True
entry_price,0.453,0.093,3.4,False,334,False,0.2,sma50_slope,True
dist_from_52w_low,0.454,0.093,-8.6,False,334,False,0.58,sma50_relative,False
target_1,0.453,0.093,3.4,False,334,False,0.2,sma50_slope,True
initial_stop,0.454,0.092,3.7,False,334,False,0.21,sma50_slope,True
perf_6m,0.461,0.079,-4.1,False,334,False,0.9,dist_from_52w_high,False
breakout_volume_multiple,0.461,0.077,-7.2,False,334,True,0.65,volume_dryup_ratio,False
roe,0.461,0.077,0.8,False,334,False,0.14,updown_volume_ratio,True
market_cap,0.465,0.07,-2.7,False,334,False,0.08,volume_dryup_ratio,True
rs_vs_spy_20d,0.467,0.066,-5.6,False,334,True,0.95,sma50_relative,False
trailing_pe,0.467,0.066,-9.2,False,306,False,0.1,breakout_volume_multiple,True
rs_vs_spy,0.467,0.066,-5.6,False,334,False,1.0,rs_vs_spy_20d,False
sma20_slope,0.471,0.059,-4.1,False,334,False,0.98,rs_vs_spy_20d,False
insider_ownership,0.529,0.058,0.2,False,332,False,0.11,dist_from_20d_high,True
volume_dryup_ratio,0.479,0.043,-2.7,False,334,True,0.69,sma20_relative,False
perf_1w,0.521,0.042,3.2,False,334,True,0.54,rsi_slope,False
exit_price,0.52,0.041,3.4,False,334,False,0.2,sma50_slope,True
operating_margin,0.52,0.04,-3.8,False,334,False,0.24,breakout_volume_multiple,True
roa,0.518,0.036,6.2,False,334,False,0.14,breakout_volume_multiple,True
eps_growth_yoy,0.483,0.033,-0.1,False,334,False,0.11,updown_volume_ratio,True
earnings_days_away,0.484,0.031,0.4,False,334,False,0.11,breakout_volume_multiple,True
forward_pe,0.513,0.026,-1.3,False,332,False,0.2,breakout_volume_multiple,True
gap_percent,0.513,0.026,3.4,False,334,False,0.24,volume_dryup_ratio,True
rsi_slope,0.513,0.026,-5.8,False,334,True,0.58,sma50_relative,False
short_float,0.487,0.026,6.2,False,332,False,0.14,dist_from_52w_high,True
beta,0.497,0.006,-4.2,False,334,False,0.36,dist_from_52w_high,True
peg_ratio,0.498,0.004,-2.3,False,332,False,0.22,dist_from_52w_high,True
