avg_return_pct,count,median_return_pct,profit_factor,ticker,win_rate_pct
1.3936,12,0.0323,2.6621,ADBE,91.6667
17.3764,2,17.3764,,AEP,100.0
10.5387,12,0.597,,AIG,100.0
2.866,2,2.866,,AMGN,100.0
1.6562,4,0.4427,,AMT,100.0
7.7977,10,0.0214,3.1795,ANET,60.0
2.6675,8,0.446,4.862,AVB,87.5
29.9744,2,29.9744,,AZO,100.0
5.8442,10,0.6055,4.252,BKR,80.0
6.0449,4,4.6836,,BSX,100.0
14.1344,8,0.4555,,C,100.0
39.1321,6,30.8168,34.4973,CAT,83.3333
1.3933,4,1.066,,CB,100.0
5.824,2,5.824,,CCI,100.0
8.4329,16,2.8758,,CCL,100.0
2.1389,2,2.1389,,CDNS,100.0
1.3624,12,-1.8603,1.4456,CMCSA,50.0
3.9922,4,3.3363,,CME,100.0
0.44,6,0.3545,,CMG,100.0
4.1622,10,0.8076,,COF,100.0
10.043,8,0.0794,19.3024,COP,87.5
7.9931,4,4.4172,,COST,100.0
7.059,2,7.059,,CRWD,100.0
15.2037,4,14.7179,,CVX,100.0
0.6979,2,0.6979,,D,100.0
16.6285,16,2.7637,70.9707,DD,93.75
6.7329,6,1.1898,3.56,DE,66.6667
11.4928,10,0.1906,19.7628,DHR,90.0
2.5797,2,2.5797,,DLR,100.0
2.6873,8,0.7199,,DOW,100.0
12.5927,4,11.9024,,DUK,100.0
5.9342,4,5.2752,,DVN,100.0
9.2416,8,4.7814,5.7844,EA,75.0
11.395,10,0.1542,12.3939,EL,80.0
7.6868,8,3.8732,,EMR,100.0
11.7304,4,0.4691,,EOG,100.0
5.8024,10,0.5782,,EQIX,100.0
3.1485,8,0.4733,,ETN,100.0
1.1491,4,0.4509,,EXC,100.0
2.89,12,0.4817,14.6297,FANG,91.6667
-0.6462,4,0.0221,0.7772,FCX,75.0
4.3488,18,0.2816,11.2851,FDX,88.8889
0.2452,4,0.2198,,FTNT,100.0
7.488,8,3.4419,6.3895,GD,75.0
7.9165,12,0.0423,4.1346,GE,83.3333
1.7317,4,0.2668,,GILD,100.0
5.5922,14,0.1853,6.0355,GOOG,85.7143
7.6747,14,0.4859,24.7932,GS,92.8571
5.7515,10,0.598,,HAL,100.0
9.0102,6,1.7402,6.7648,HCA,66.6667
8.7615,14,6.0502,21.6722,HLT,92.8571
7.3368,6,5.3491,,HON,100.0
7.874,8,0.7155,,ICE,100.0
-0.3864,4,0.0112,0.2336,KHC,75.0
-1.8139,4,-2.9797,0.4763,KLAC,50.0
14.1584,2,14.1584,,KO,100.0
1.6928,4,0.369,,LIN,100.0
3.1317,2,3.1317,,LLY,100.0
2.3853,6,-5.0817,1.3358,LMT,33.3333
6.618,4,3.7094,,LOW,100.0
1.6027,6,0.0187,2.5723,MA,83.3333
11.5662,12,11.355,,MAR,100.0
17.55,2,17.55,,MDLZ,100.0
0.0415,6,0.0156,1.0624,MDT,83.3333
3.6014,4,1.6574,,MET,100.0
8.1953,8,0.3704,,META,100.0
-3.6624,6,-4.1396,0.0014,MLM,33.3333
6.0081,6,0.3119,,MPC,100.0
0.4641,2,0.4641,,MRK,100.0
2.3013,6,1.0382,,MRNA,100.0
34.4152,12,1.3359,123.2528,MU,91.6667
8.2054,4,0.4876,2.9607,NEE,50.0
3.6429,12,0.0266,3.0574,NKE,66.6667
15.4982,4,7.6715,,NOC,100.0
22.2425,8,11.6927,,NUE,100.0
7.2571,6,7.6473,,O,100.0
18.7529,2,18.7529,,ORLY,100.0
-1.1653,4,-2.2072,0.5685,OXY,50.0
0.3269,2,0.3269,,PANW,100.0
20.8529,6,16.7185,,PEG,100.0
3.0208,6,0.3425,,PFE,100.0
7.8297,8,6.1333,,PH,100.0
8.229,8,0.3959,,PINS,100.0
10.2996,4,10.8315,,PM,100.0
9.4912,16,4.9991,34.9883,PNC,93.75
7.9365,6,4.843,,PRU,100.0
3.9683,4,3.3967,,PSA,100.0
13.475,10,0.3672,15.6882,PSX,90.0
21.1927,6,0.6509,,QCOM,100.0
1.9337,2,1.9337,,RDDT,100.0
1.1508,4,0.6437,,REGN,100.0
8.1495,14,0.5122,,ROK,100.0
8.0108,16,0.0373,5.2547,ROKU,75.0
5.4117,4,4.66,,ROST,100.0
9.3126,4,4.8801,,RSG,100.0
1.5437,4,0.351,,RTX,100.0
-0.8267,8,0.021,0.6298,SBUX,62.5
8.6052,10,0.5596,,SCHW,100.0
-1.3196,8,-1.6781,0.4393,SHW,50.0
0.1862,4,-1.8698,1.0218,SO,50.0
0.8454,12,0.0232,1.3056,SPG,66.6667
16.5917,12,0.9268,,STLD,100.0
3.3783,6,2.1299,3.7873,T,83.3333
4.9911,8,0.2949,,TJX,100.0
-2.1288,4,0.0229,0.089,TMO,75.0
23.6517,2,23.6517,,TMUS,100.0
2.8331,4,2.5379,,TRV,100.0
0.3438,2,0.3438,,TSLA,100.0
1.2802,6,0.4736,,V,100.0
15.5463,4,14.7623,,VICI,100.0
29.7337,4,32.0677,,VLO,100.0
2.7522,6,0.0447,4.0812,VMC,83.3333
19.7847,2,19.7847,,WM,100.0
1.3371,4,0.3169,,WMT,100.0
9.2891,2,9.2891,,XEL,100.0
5.3563,4,4.6922,,XOM,100.0
-1.9326,2,-1.9326,0.0036,YUM,50.0
