avg_return_pct,count,median_return_pct,profit_factor,ticker,win_rate_pct
-0.0595,2,-0.0595,0.0,ADBE,0.0
-0.059,4,-0.0645,0.0,AMAT,0.0
-0.0602,4,-0.0765,0.0406,ANET,25.0
1.8225,2,1.8225,90.7759,ASML,50.0
0.0796,2,0.0796,2.7928,AVB,50.0
-1.9063,2,-1.9063,0.0,BAC,0.0
-0.0536,2,-0.0536,0.0,C,0.0
0.0597,2,0.0597,2.3256,CB,50.0
0.181,6,0.011,5.3636,CCL,50.0
-0.0649,2,-0.0649,0.0,CHTR,0.0
21.7317,2,21.7317,,CI,100.0
0.1737,2,0.1737,5.1655,COF,50.0
14.9857,2,14.9857,,CRWD,100.0
-0.0481,2,-0.0481,0.0,CSX,0.0
-0.073,2,-0.073,0.0,DE,0.0
0.1268,2,0.1268,3.9466,DOW,50.0
16.8519,4,12.1771,827.0748,DVN,75.0
-0.0717,2,-0.0717,0.0,EL,0.0
0.1588,2,0.1588,4.7663,EOG,50.0
-0.0655,2,-0.0655,0.0,FANG,0.0
19.8321,4,12.7822,840.455,GE,75.0
0.1613,2,0.1613,4.9963,HAL,50.0
0.185,2,0.185,5.6835,HLT,50.0
-0.0718,4,-0.0719,0.0,ICE,0.0
21.6608,2,21.6608,,INTC,100.0
-0.0662,4,-0.0681,0.0,IQV,0.0
-0.0618,2,-0.0618,0.0,ISRG,0.0
-0.0676,2,-0.0676,0.0,LOW,0.0
-0.0766,2,-0.0766,0.0,LRCX,0.0
-0.0353,2,-0.0353,0.2595,LULU,50.0
-0.0634,2,-0.0634,0.0,LYV,0.0
0.2599,2,0.2599,7.6301,MAR,50.0
-0.072,2,-0.072,0.0,META,0.0
-7.3294,2,-7.3294,0.0,NFLX,0.0
-0.0258,4,-0.0711,0.5702,NOW,25.0
-20.7621,2,-20.7621,0.0,NVDA,0.0
-0.0606,2,-0.0606,0.0,ORCL,0.0
5.0156,2,5.0156,896.6429,ORLY,50.0
0.1722,2,0.1722,5.1544,OXY,50.0
0.2468,8,-0.0257,6.6831,PANW,25.0
-0.0415,2,-0.0415,0.1327,PFE,50.0
-0.0603,2,-0.0603,0.0,PGR,0.0
-0.0079,2,-0.0079,0.8307,PINS,50.0
22.2644,4,7.8715,1019.9668,PSX,75.0
0.1014,6,-0.0305,3.3148,RCL,50.0
7.8856,2,7.8856,,REGN,100.0
-0.0115,6,-0.0376,0.7546,ROKU,50.0
0.0849,2,0.0849,2.9186,SBUX,50.0
0.0363,2,0.0363,1.7943,SCHW,50.0
0.0538,2,0.0538,2.1916,SLB,50.0
-0.0138,4,-0.0604,0.7458,SNAP,25.0
0.0175,4,0.0173,1.378,SNOW,50.0
-14.1668,2,-14.1668,0.0,SPOT,0.0
42.945,2,42.945,,STLD,100.0
-0.067,2,-0.067,0.0,SYK,0.0
-0.0301,2,-0.0301,0.3687,TGT,50.0
-0.0633,2,-0.0633,0.0,TSLA,0.0
-0.0556,2,-0.0556,0.0,WELL,0.0
