ticker,signal_date,horizon,entry_label,entry_strategy,selected_setup,entry_date,entry_index,entry_price,entry_method,entry_wait_days,position_size_multiplier,applied_size_caps,initial_stop,target_1,target_1_hit,partial_exit_pct,exit_date,exit_index,exit_price,exit_reason,days_held,realized_return_pct,mae_pct,mfe_pct,mfe_capture_pct,event_count,market_regime,archetype,source_decision
ADBE,2023-04-11,medium_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2023-04-12,2836,376.42,NEXT_OPEN,0,0.5,,358.6245,377.3098,True,33.0,2023-04-14,2838,376.42,TRAILING_STOP_EXIT,2,-0.022,-0.9803,1.1025,-1.9948,3,BULL_RISK_ON,TECHNICAL_NATIVE,
ADBE,2023-04-11,short_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2023-04-12,2836,376.42,NEXT_OPEN,0,0.5,,353.1989,377.5811,True,1.0,2023-04-14,2838,376.42,TRAILING_STOP_EXIT,2,-0.0969,-0.9803,1.1025,-8.7905,3,BULL_RISK_ON,TECHNICAL_NATIVE,
AMAT,2017-08-31,medium_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2017-09-01,1426,45.19,NEXT_OPEN,0,0.5,,42.7217,45.3134,True,33.0,2017-09-08,1430,45.19,TRAILING_STOP_EXIT,4,-0.0099,-2.921,0.4647,-2.1276,3,BULL_RISK_ON,TECHNICAL_NATIVE,
AMAT,2017-08-31,short_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2017-09-01,1426,45.19,NEXT_OPEN,0,0.5,,42.0721,45.3459,True,1.0,2017-09-08,1430,45.19,TRAILING_STOP_EXIT,4,-0.0966,-2.921,0.4647,-20.7769,3,BULL_RISK_ON,TECHNICAL_NATIVE,
AMAT,2021-06-11,medium_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2021-06-14,2376,136.8,NEXT_OPEN,0,0.5,,131.2057,137.0797,True,33.0,2021-06-16,2378,136.8,TRAILING_STOP_EXIT,2,-0.0325,-0.5556,2.7851,-1.1679,3,BULL_RISK_ON,TECHNICAL_NATIVE,
AMAT,2021-06-11,short_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2021-06-14,2376,136.8,NEXT_OPEN,0,0.5,,129.1872,137.1806,True,1.0,2021-06-16,2378,136.8,TRAILING_STOP_EXIT,2,-0.0972,-0.5556,2.7851,-3.4906,3,BULL_RISK_ON,TECHNICAL_NATIVE,
ANET,2022-01-05,medium_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2022-01-06,1911,32.94,NEXT_OPEN,0,0.5,,32.0872,32.9826,True,33.0,2022-01-10,1913,32.94,TRAILING_STOP_EXIT,2,-0.0573,-4.4627,2.4894,-2.3027,3,BULL_RISK_ON,TECHNICAL_NATIVE,
ANET,2022-01-05,short_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2022-01-06,1911,32.94,NEXT_OPEN,0,0.5,,31.5936,33.0073,True,1.0,2022-01-10,1913,32.94,TRAILING_STOP_EXIT,2,-0.098,-4.4627,2.4894,-3.935,3,BULL_RISK_ON,TECHNICAL_NATIVE,
ANET,2024-08-22,medium_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2024-08-23,2571,88.75,NEXT_OPEN,0,0.5,,82.821,89.0465,True,33.0,2024-08-27,2573,88.75,TRAILING_STOP_EXIT,2,0.0102,-4.8451,0.8451,1.2126,3,BULL_RISK_ON,TECHNICAL_NATIVE,
ANET,2024-08-22,short_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2024-08-23,2571,88.75,NEXT_OPEN,0,0.5,,81.2607,89.1245,True,1.0,2024-08-27,2573,88.75,TRAILING_STOP_EXIT,2,-0.0958,-4.8451,0.8451,-11.3336,3,BULL_RISK_ON,TECHNICAL_NATIVE,
