avg_return_pct,count,median_return_pct,profit_factor,ticker,win_rate_pct
-0.0458,4,-0.0586,0.1443,ADBE,25.0
10.8346,6,-0.0212,276.2214,AMAT,33.3333
-0.0208,6,-0.0443,0.5602,AMD,50.0
-0.0602,4,-0.0765,0.0406,ANET,25.0
1.8225,2,1.8225,90.7759,ASML,50.0
0.0796,2,0.0796,2.7928,AVB,50.0
48.1407,2,48.1407,,AVGO,100.0
0.0473,2,0.0473,2.043,AXP,50.0
-5.1098,2,-5.1098,0.0,BA,0.0
-8.764,4,-9.3409,0.0,BAC,0.0
0.0282,2,0.0282,1.6155,BK,50.0
-4.0031,2,-4.0031,0.0,BKNG,0.0
-3.5382,4,-3.2261,0.0071,BKR,25.0
-3.137,2,-3.137,0.0,BMY,0.0
-14.2313,2,-14.2313,0.0,BSX,0.0
0.0206,4,-0.0492,1.4229,C,25.0
0.0394,4,0.0203,1.8635,CB,50.0
-24.3396,2,-24.3396,0.0,CBRE,0.0
7.984,8,0.2897,257.6159,CCL,62.5
-0.0453,4,-0.0638,0.1935,CHTR,25.0
21.7317,2,21.7317,,CI,100.0
80.7518,2,80.7518,,CMG,100.0
0.1737,2,0.1737,5.1655,COF,50.0
7.4794,4,0.6342,315.9221,CRWD,75.0
-0.0481,2,-0.0481,0.0,CSX,0.0
-6.5403,2,-6.5403,0.0,DD,0.0
2.0131,4,0.0374,56.1919,DE,50.0
0.0677,2,0.0677,2.5117,DIS,50.0
27.5334,4,22.0041,1280.1347,DOW,75.0
3.3778,10,0.0712,1.982,DVN,50.0
-0.0717,2,-0.0717,0.0,EL,0.0
0.0731,2,0.0731,2.6379,EMR,50.0
0.132,4,0.1068,4.0745,EOG,50.0
0.0041,2,0.0041,1.088,EXC,50.0
31.7983,4,17.3599,971.2014,FANG,50.0
-6.0261,8,-5.7508,0.0056,FCX,12.5
-0.0167,4,-0.0253,0.6469,FDX,50.0
-10.038,2,-10.038,0.0,GD,0.0
7.9256,10,0.0071,211.2289,GE,60.0
0.0224,2,0.0224,1.487,GS,50.0
0.1877,4,0.1613,5.6397,HAL,50.0
0.1824,2,0.1824,5.4005,HCA,50.0
48.6329,2,48.6329,,HD,100.0
0.185,2,0.185,5.6835,HLT,50.0
2.6589,2,2.6589,,HON,100.0
-0.0718,4,-0.0719,0.0,ICE,0.0
21.6608,2,21.6608,,INTC,100.0
15.9575,6,-0.0348,362.574,IQV,33.3333
17.9815,4,17.0688,582.4568,ISRG,50.0
0.0118,2,0.0118,1.2532,JPM,50.0
-0.0676,2,-0.0676,0.0,LOW,0.0
-0.0766,2,-0.0766,0.0,LRCX,0.0
26.0024,6,10.2782,1639.8067,LULU,83.3333
0.0828,4,-0.0549,2.5995,LYV,25.0
-14.0162,2,-14.0162,0.0,MA,0.0
0.2599,2,0.2599,7.6301,MAR,50.0
0.0121,2,0.0121,1.2597,MDT,50.0
-14.9459,2,-14.9459,0.0,MET,0.0
-0.2747,8,-0.0698,0.7976,META,12.5
0.0918,2,0.0918,3.084,MLM,50.0
9.0967,6,0.2776,311.2899,MPC,66.6667
0.0289,2,0.0289,1.6307,MS,50.0
7.4524,4,4.4718,323.6126,MU,75.0
-3.6507,4,-3.351,0.01,NFLX,25.0
44.8464,2,44.8464,,NKE,100.0
-0.0182,6,-0.0711,0.6725,NOW,33.3333
-16.9314,2,-16.9314,0.0,NSC,0.0
0.0338,2,0.0338,1.7377,NUE,50.0
-20.7621,2,-20.7621,0.0,NVDA,0.0
-0.0606,2,-0.0606,0.0,ORCL,0.0
-0.6558,4,-0.0522,0.7929,ORLY,25.0
0.1515,4,0.1322,4.5889,OXY,50.0
12.6067,10,-0.0118,363.8863,PANW,40.0
-10.5433,2,-10.5433,0.0,PEG,0.0
-0.0415,2,-0.0415,0.1327,PFE,50.0
-0.0603,2,-0.0603,0.0,PGR,0.0
69.5766,2,69.5766,,PH,100.0
-0.0079,2,-0.0079,0.8307,PINS,50.0
9.578,2,9.578,3.7652,PLD,50.0
0.0365,2,0.0365,1.8007,PNC,50.0
-6.9737,2,-6.9737,0.0,PRU,0.0
22.2644,4,7.8715,1019.9668,PSX,75.0
-5.3124,4,-5.7306,0.1832,PYPL,50.0
-0.5901,12,-0.0834,0.121,RCL,41.6667
7.8856,2,7.8856,,REGN,100.0
53.0001,2,53.0001,,ROK,100.0
37.1801,8,0.0413,1054.2613,ROKU,62.5
0.0849,2,0.0849,2.9186,SBUX,50.0
0.0363,2,0.0363,1.7943,SCHW,50.0
0.0638,4,0.0543,2.4206,SLB,50.0
0.0027,10,-0.06,1.0553,SNAP,40.0
0.0153,6,0.0113,1.3313,SNOW,50.0
-14.9781,2,-14.9781,0.0,SPG,0.0
-6.9463,4,-6.654,0.0193,SPOT,50.0
0.0138,2,0.0138,1.2988,SRE,50.0
42.945,2,42.945,,STLD,100.0
0.0008,4,-0.063,1.0152,SYK,25.0
-3.1084,6,-0.0949,0.0048,TGT,33.3333
-22.3015,2,-22.3015,0.0,TJX,0.0
5.6332,2,5.6332,,TRV,100.0
29.4574,8,12.5551,1064.9233,TSLA,62.5
26.5739,2,26.5739,,UNP,100.0
-14.43,2,-14.43,0.0,USB,0.0
6.0989,2,6.0989,,VMC,100.0
0.1113,4,-0.0459,3.36,WELL,25.0
-6.089,2,-6.089,0.0,WFC,0.0
9.3301,2,9.3301,2.469,XOM,50.0
