ticker,signal_date,horizon,entry_label,entry_strategy,selected_setup,entry_date,entry_index,entry_price,entry_method,entry_wait_days,position_size_multiplier,applied_size_caps,initial_stop,target_1,target_1_hit,partial_exit_pct,exit_date,exit_index,exit_price,exit_reason,days_held,realized_return_pct,mae_pct,mfe_pct,mfe_capture_pct,event_count,market_regime,archetype,source_decision
ADBE,2022-10-03,medium_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2022-10-04,2706,290.95,NEXT_OPEN,0,1.0,,267.8618,292.1044,True,33.0,2022-10-07,2709,290.95,TRAILING_STOP_EXIT,3,0.0309,-1.4161,5.0009,0.6186,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
ADBE,2022-10-03,short_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2022-10-04,2706,290.95,NEXT_OPEN,0,1.0,,263.7408,292.3105,True,1.0,2022-10-07,2709,290.95,TRAILING_STOP_EXIT,3,-0.0953,-1.4161,5.0009,-1.9061,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
ADBE,2023-04-11,medium_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2023-04-12,2836,376.42,NEXT_OPEN,0,0.5,,358.6245,377.3098,True,33.0,2023-04-14,2838,376.42,TRAILING_STOP_EXIT,2,-0.022,-0.9803,1.1025,-1.9948,3,BULL_RISK_ON,TECHNICAL_NATIVE,
ADBE,2023-04-11,short_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2023-04-12,2836,376.42,NEXT_OPEN,0,0.5,,353.1989,377.5811,True,1.0,2023-04-14,2838,376.42,TRAILING_STOP_EXIT,2,-0.0969,-0.9803,1.1025,-8.7905,3,BULL_RISK_ON,TECHNICAL_NATIVE,
AMAT,2017-08-31,medium_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2017-09-01,1426,45.19,NEXT_OPEN,0,0.5,,42.7217,45.3134,True,33.0,2017-09-08,1430,45.19,TRAILING_STOP_EXIT,4,-0.0099,-2.921,0.4647,-2.1276,3,BULL_RISK_ON,TECHNICAL_NATIVE,
AMAT,2017-08-31,short_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2017-09-01,1426,45.19,NEXT_OPEN,0,0.5,,42.0721,45.3459,True,1.0,2017-09-08,1430,45.19,TRAILING_STOP_EXIT,4,-0.0966,-2.921,0.4647,-20.7769,3,BULL_RISK_ON,TECHNICAL_NATIVE,
AMAT,2020-03-19,medium_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-03-20,2066,41.49,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,35.724,41.7783,True,33.0,2020-10-22,2216,61.7,MAX_SIM_WINDOW_EXIT,150,32.7654,-8.6045,68.4743,47.8506,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
AMAT,2020-03-19,short_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-03-20,2066,41.49,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,35.1744,41.8058,True,1.0,2020-05-26,2111,55.14,MAX_SIM_WINDOW_EXIT,45,32.4781,-8.6045,40.1784,80.8348,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
AMAT,2021-06-11,medium_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2021-06-14,2376,136.8,NEXT_OPEN,0,0.5,,131.2057,137.0797,True,33.0,2021-06-16,2378,136.8,TRAILING_STOP_EXIT,2,-0.0325,-0.5556,2.7851,-1.1679,3,BULL_RISK_ON,TECHNICAL_NATIVE,
AMAT,2021-06-11,short_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2021-06-14,2376,136.8,NEXT_OPEN,0,0.5,,129.1872,137.1806,True,1.0,2021-06-16,2378,136.8,TRAILING_STOP_EXIT,2,-0.0972,-0.5556,2.7851,-3.4906,3,BULL_RISK_ON,TECHNICAL_NATIVE,
AMD,2012-11-09,medium_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2012-11-12,216,2.04,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,1.911,2.0465,True,33.0,2012-11-14,218,2.04,TRAILING_STOP_EXIT,2,0.0051,-5.8824,15.1961,0.0339,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
AMD,2012-11-09,short_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2012-11-12,216,2.04,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,1.8816,2.0479,True,1.0,2012-11-14,218,2.04,TRAILING_STOP_EXIT,2,-0.0961,-5.8824,15.1961,-0.6326,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
AMD,2022-10-03,medium_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2022-10-04,2706,68.27,NEXT_OPEN,0,1.0,,61.2593,68.6205,True,33.0,2022-10-06,2708,68.27,TRAILING_STOP_EXIT,2,0.0694,-5.5002,2.9588,2.3463,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
