avg_return_pct,count,median_return_pct,profit_factor,ticker,win_rate_pct
3.2328,4,0.7562,,ADBE,100.0
23.0178,4,21.2682,,AIG,100.0
0.4873,2,0.4873,,ANET,100.0
6.4913,4,5.4822,,AVB,100.0
0.5962,2,0.5962,,BKR,100.0
11.5192,2,11.5192,,C,100.0
24.5008,2,24.5008,,CMCSA,100.0
0.564,2,0.564,,CMG,100.0
0.5625,2,0.5625,,COF,100.0
23.238,4,18.2707,,DD,100.0
2.1038,6,0.7127,,DOW,100.0
5.9315,4,5.2752,,DVN,100.0
-2.3076,4,-2.0122,0.03,EL,50.0
23.0092,2,23.0092,,EOG,100.0
6.1447,6,2.565,,FDX,100.0
12.4702,4,13.7129,,GD,100.0
0.5337,2,0.5337,,GE,100.0
3.1947,2,3.1947,,GILD,100.0
0.1746,2,0.1746,,GOOG,100.0
12.1063,4,7.4364,,GS,100.0
13.4003,4,11.2641,,HAL,100.0
0.3638,4,0.2754,,ICE,100.0
-1.3041,2,-1.3041,0.0031,MLM,50.0
0.4621,2,0.4621,,MRK,100.0
1.0238,2,1.0238,,MRNA,100.0
0.4551,2,0.4551,,MU,100.0
0.6917,2,0.6917,,NKE,100.0
37.3114,2,37.3114,,NUE,100.0
29.9462,2,29.9462,,PEG,100.0
16.3275,2,16.3275,,PINS,100.0
32.6617,2,32.6617,,PNC,100.0
3.3927,2,3.3927,,PSA,100.0
24.7117,2,24.7117,,PSX,100.0
0.6406,2,0.6406,,REGN,100.0
0.2883,2,0.2883,,ROK,100.0
-0.6954,8,0.0171,0.4551,ROKU,75.0
4.6547,2,4.6547,,ROST,100.0
-6.0029,2,-6.0029,0.0,SBUX,0.0
1.2195,4,0.0116,2.4477,SHW,75.0
0.22,2,0.22,,SPG,100.0
0.2061,2,0.2061,,STLD,100.0
3.1231,2,3.1231,,TRV,100.0
0.3417,2,0.3417,,TSLA,100.0
29.7282,4,32.0677,,VLO,100.0
19.7828,2,19.7828,,WM,100.0
6.0163,2,6.0163,,XOM,100.0
