avg_return_pct,count,median_return_pct,profit_factor,ticker,win_rate_pct
1.4907,2,1.4907,,ADBE,100.0
17.2162,2,17.2162,,AIG,100.0
8.1009,2,8.1009,,CB,100.0
-4.1352,6,0.0817,0.4065,CCL,83.3333
95.9504,2,95.9504,,CMG,100.0
-2.7655,4,-4.987,0.484,COF,50.0
33.2094,2,33.2094,,COP,100.0
7.0552,2,7.0552,,CRWD,100.0
22.4411,2,22.4411,,DFS,100.0
2.0454,4,0.7127,,DOW,100.0
4.9132,6,0.0299,2.0275,DVN,66.6667
7.0074,2,7.0074,,EMR,100.0
72.7604,6,56.9581,,FCX,100.0
4.9502,2,4.9502,,FDX,100.0
35.6987,2,35.6987,,GE,100.0
2.3643,2,2.3643,,HAL,100.0
0.3508,2,0.3508,,HLT,100.0
16.1053,2,16.1053,,MAR,100.0
17.6934,2,17.6934,,META,100.0
25.9897,4,29.5793,,MPC,100.0
0.73,4,0.4317,,MU,100.0
-2.7537,2,-2.7537,0.0025,NUE,50.0
1.9462,2,1.9462,,OXY,100.0
7.472,2,7.472,,PH,100.0
16.3275,2,16.3275,,PINS,100.0
-1.5378,2,-1.5378,0.003,PNC,50.0
24.5562,4,24.4032,,PSX,100.0
0.6138,2,0.6138,,ROK,100.0
0.008,10,0.029,1.0079,ROKU,80.0
0.2328,2,0.2328,,SCHW,100.0
18.7796,4,4.7291,5.123,STLD,50.0
0.282,2,0.282,,TMUS,100.0
1.2733,2,1.2733,,TSLA,100.0
0.7922,2,0.7922,,WELL,100.0
7.363,2,7.363,,XOM,100.0
9.8718,2,9.8718,,YUM,100.0
