ticker,signal_date,horizon,entry_label,entry_strategy,selected_setup,entry_date,entry_index,entry_price,entry_method,entry_wait_days,position_size_multiplier,applied_size_caps,initial_stop,target_1,target_1_hit,partial_exit_pct,exit_date,exit_index,exit_price,exit_reason,days_held,realized_return_pct,mae_pct,mfe_pct,mfe_capture_pct,event_count,market_regime,archetype,source_decision
AIG,2020-03-25,medium_term,BUY_STARTER,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-03-26,561,25.81,NEXT_OPEN,0,0.25,HIGH_ATR_CAP,15.6683,27.8383,True,1.0,2020-05-13,594,25.81,STOP_LOSS_EXIT,33,0.0786,-22.8981,9.7637,0.8049,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
AIG,2020-03-25,short_term,BUY_STARTER,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-03-26,561,25.81,NEXT_OPEN,0,0.25,HIGH_ATR_CAP,15.9093,33.2355,True,20.0,2020-06-11,614,34.0329,TRAILING_STOP_EXIT,53,31.2413,-22.8981,53.0802,58.8568,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
AVB,2020-03-25,medium_term,BUY_STARTER,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-03-26,561,140.66,NEXT_OPEN,0,0.25,HIGH_ATR_CAP,115.2157,145.7489,True,1.0,2020-04-01,565,140.66,STOP_LOSS_EXIT,4,0.0362,-7.0169,17.2544,0.2097,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
AVB,2020-03-25,short_term,BUY_STARTER,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-03-26,561,140.66,NEXT_OPEN,0,0.25,HIGH_ATR_CAP,116.9883,158.4138,True,20.0,2020-04-01,565,140.66,TRAILING_STOP_EXIT,4,2.5244,-7.0169,17.2544,14.6302,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
AVB,2020-04-01,medium_term,BUY_STARTER,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-04-02,566,135.01,NEXT_OPEN,0,0.25,HIGH_ATR_CAP,115.2157,138.9688,True,1.0,2020-10-22,707,146.48,MAX_SIM_WINDOW_EXIT,141,8.44,-3.5109,31.931,26.4321,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
AVB,2020-04-01,short_term,BUY_STARTER,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-04-02,566,135.01,NEXT_OPEN,0,0.25,HIGH_ATR_CAP,116.9883,148.5263,True,20.0,2020-05-07,590,156.8857,TRAILING_STOP_EXIT,24,14.9647,-3.5109,28.072,53.3083,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
BKR,2020-03-25,medium_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-03-26,561,11.78,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,8.892,12.3576,True,1.0,2020-10-15,702,13.45,MAX_SIM_WINDOW_EXIT,141,14.0838,-19.8642,63.837,22.0622,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
BKR,2020-03-25,short_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-03-26,561,11.78,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,9.0288,13.8434,True,20.0,2020-06-11,614,16.8229,TRAILING_STOP_EXIT,53,37.7501,-19.8642,63.837,59.1352,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
BSX,2020-03-25,medium_term,BUY_STARTER,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-03-26,561,30.31,NEXT_OPEN,0,0.25,HIGH_ATR_CAP,23.4975,31.6725,True,1.0,2020-04-01,565,30.31,STOP_LOSS_EXIT,4,0.045,-2.7714,9.6998,0.4634,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
BSX,2020-03-25,short_term,BUY_STARTER,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-03-26,561,30.31,NEXT_OPEN,0,0.25,HIGH_ATR_CAP,23.859,35.1482,True,20.0,2020-05-14,595,34.7086,TRAILING_STOP_EXIT,34,14.802,-2.7714,26.9548,54.9143,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
