avg_return_pct,count,median_return_pct,profit_factor,ticker,win_rate_pct
0.7992,14,0.0101,3.7892,ABBV,85.7143
-0.6285,20,0.0103,0.4015,ADBE,75.0
-0.461,4,0.0062,0.1782,AEP,75.0
1.2165,16,0.0057,2.0981,AIG,62.5
1.9043,12,0.2303,,AMGN,100.0
5.5886,2,5.5886,,AMT,100.0
8.3126,8,0.0082,5.4924,ANET,62.5
-0.0482,18,0.0074,0.936,APD,77.7778
1.0454,6,0.1907,,AVB,100.0
-0.8261,12,0.0082,0.1359,AZO,75.0
1.2877,12,0.0953,,BKR,100.0
2.8672,20,0.01,5.3434,BSX,80.0
-2.1351,12,-1.3771,0.1064,C,50.0
17.873,6,12.001,,CAT,100.0
0.5249,14,0.0069,1.6175,CB,64.2857
-1.0115,12,0.0064,0.0651,CCI,66.6667
-3.0497,20,0.0089,0.233,CCL,65.0
0.8291,22,0.0091,1.9623,CDNS,81.8182
-1.42,14,-0.4975,0.1726,CI,50.0
-0.3784,8,0.0052,0.5698,CL,62.5
1.3599,4,0.3282,,CMCSA,100.0
-1.4646,10,-1.003,0.0574,CME,50.0
11.3174,16,0.0105,14.3594,CMG,75.0
-0.8713,28,0.0078,0.5387,COF,60.7143
11.6079,6,1.605,,COP,100.0
0.7507,14,0.0064,2.4736,COST,78.5714
-0.7045,6,-2.7471,0.7697,CRWD,50.0
-0.5347,4,0.0078,0.251,CVX,75.0
-1.3181,10,-1.6342,0.3784,D,50.0
-0.1022,12,0.0068,0.7131,DD,83.3333
-2.5403,10,-2.6372,0.0078,DE,30.0
4.4113,10,0.045,7.6765,DFS,80.0
0.7728,14,0.1022,,DG,100.0
0.2227,14,0.0092,1.3507,DHR,78.5714
4.0921,12,0.3447,,DLR,100.0
0.1256,6,0.0428,1.1014,DOW,66.6667
0.0118,12,0.0065,1.0231,DUK,83.3333
2.1298,16,0.0197,2.0891,DVN,81.25
-0.0385,12,0.0094,0.9752,EA,75.0
0.231,2,0.231,,ED,100.0
-0.5675,8,0.0071,0.2277,EL,75.0
2.9983,10,0.1782,,EMR,100.0
-0.6864,10,0.0105,0.2196,EOG,70.0
-2.0084,10,-1.6253,0.0415,EQIX,50.0
-0.0555,14,0.0103,0.9336,ETN,85.7143
-0.9648,4,0.0082,0.1402,EXC,75.0
-4.226,14,-1.2644,0.0227,FANG,50.0
52.1516,8,21.5282,22.5619,FCX,75.0
1.2523,18,0.0075,2.0294,FDX,72.2222
0.2343,4,0.1839,,FTNT,100.0
-0.8782,20,0.0055,0.2294,GD,70.0
3.8094,16,0.0072,5.9866,GE,68.75
8.6904,6,-2.387,4.0329,GILD,50.0
3.0219,12,0.0082,5.8712,GOOG,83.3333
-1.4739,12,-0.5742,0.0322,GS,50.0
2.3643,2,2.3643,,HAL,100.0
3.3968,16,0.0118,5.7104,HCA,81.25
-0.1509,16,0.0115,0.8497,HLT,75.0
0.3542,20,0.0068,1.5385,HON,80.0
-1.1024,10,0.0071,0.193,HSY,60.0
-0.5755,26,0.0092,0.4379,ICE,76.9231
-1.1722,6,0.009,0.1383,KHC,66.6667
-0.8052,12,0.0081,0.694,KLAC,66.6667
-0.9427,4,-1.311,0.3012,KO,50.0
-1.0993,6,-0.6892,0.0325,LIN,50.0
0.93,4,0.1711,,LLY,100.0
2.3228,12,0.0092,5.4344,LMT,83.3333
-0.2735,20,0.0077,0.4529,LOW,65.0
1.2101,18,0.0077,2.6294,MA,77.7778
3.8039,12,0.0469,31.5515,MAR,91.6667
0.2048,4,0.185,,MCD,100.0
-3.5071,4,-3.5667,0.0,MDLZ,0.0
0.1585,12,0.0071,1.5066,MDT,83.3333
-4.8043,4,-4.8947,0.0,MET,0.0
0.0721,24,0.008,1.0465,META,70.8333
3.4602,10,0.3014,7.0824,MLM,90.0
5.442,16,0.0117,4.5074,MPC,68.75
2.5751,10,0.157,7.584,MRK,90.0
23.021,4,11.2663,,MRNA,100.0
3.7136,22,0.0158,4.7419,MU,77.2727
12.9331,2,12.9331,,NEE,100.0
-0.7762,8,0.0067,0.1534,NKE,75.0
-3.2552,2,-3.2552,0.0,NOC,0.0
-0.9705,14,0.0111,0.1417,NUE,78.5714
0.1881,18,0.0076,1.226,ORLY,72.2222
-1.0215,8,-1.0935,0.3236,OXY,50.0
1.63,26,0.0117,2.1891,PANW,69.2308
-2.8703,4,-2.9522,0.0,PEG,0.0
-0.1169,8,0.0088,0.6668,PEP,87.5
-0.5553,14,0.0086,0.2529,PFE,64.2857
-1.3351,10,-0.9207,0.036,PG,50.0
-1.2921,4,-1.2083,0.1832,PGR,50.0
0.0154,14,0.0073,1.0141,PH,71.4286
8.2541,4,0.1876,,PINS,100.0
0.1918,4,0.1702,,PM,100.0
-1.3577,18,0.0066,0.0637,PNC,55.5556
-0.7705,4,-1.7101,0.596,PRU,50.0
0.2434,2,0.2434,,PSA,100.0
9.824,8,0.0282,5.0005,PSX,62.5
-4.115,6,-4.4722,0.0005,QCOM,16.6667
9.8193,8,2.1818,14.8677,REGN,75.0
3.8687,6,0.6138,5.6264,ROK,66.6667
2.2766,18,0.0182,2.5935,ROKU,72.2222
1.1719,14,0.0115,9.2261,ROST,92.8571
0.3845,6,0.0075,1.7711,RSG,83.3333
1.2037,8,0.0069,8.5405,RTX,87.5
2.0531,6,0.1475,,SBUX,100.0
0.8378,16,0.0118,2.9385,SCHW,87.5
4.2966,18,0.2318,13.2448,SHW,88.8889
-2.5543,2,-2.5543,0.0,SO,0.0
-0.6136,6,0.0089,0.5433,SPG,66.6667
8.6203,10,0.1914,5.7313,STLD,80.0
13.8044,6,5.5823,,T,100.0
-1.7183,6,-1.4018,0.0571,TJX,50.0
1.3879,14,0.008,2.1039,TMO,64.2857
3.1377,18,0.0123,6.236,TMUS,83.3333
-0.902,8,-0.9656,0.4387,TRV,50.0
-1.4045,12,0.0114,0.261,TSLA,58.3333
1.3135,12,0.095,,UNH,100.0
-0.6829,10,0.0089,0.17,V,80.0
-2.3549,4,-2.7369,0.0009,VICI,25.0
-1.3926,24,0.0093,0.2022,VMC,58.3333
7.7274,6,3.3055,,VRTX,100.0
1.6292,12,0.0069,3.0358,VZ,66.6667
0.4335,10,0.0476,1.7185,WELL,90.0
2.1526,6,0.1014,4.1819,WM,83.3333
-0.5507,6,0.0075,0.173,WMT,83.3333
-1.5151,6,-1.546,0.0618,XEL,50.0
0.5677,10,-0.8357,1.4326,XOM,50.0
0.8343,18,0.008,1.6683,YUM,66.6667
