avg_return_pct,count,median_return_pct,profit_factor,ticker,win_rate_pct
-0.9746,4,0.0024,0.0282,ABBV,50.0
-0.8123,8,0.0118,0.1837,ADBE,75.0
-1.1181,2,-1.1181,0.0033,AEP,50.0
5.1525,4,-0.9992,4.6632,AIG,50.0
10.1573,8,0.0082,6.4893,ANET,62.5
0.7156,8,0.0082,2.395,APD,87.5
0.1239,2,0.1239,,AZO,100.0
1.6097,8,0.0499,,BKR,100.0
-0.8764,4,0.0077,0.3398,BSX,75.0
-1.7666,2,-1.7666,0.0028,C,50.0
21.6662,4,9.5833,,CAT,100.0
3.398,4,0.1964,,CB,100.0
0.0653,2,0.0653,,CCI,100.0
-4.3299,8,0.0817,0.1715,CCL,87.5
-0.5271,6,0.0109,0.1781,CDNS,83.3333
-0.4975,2,-0.4975,0.005,CI,50.0
-1.7577,4,-2.1157,0.0007,CL,25.0
1.0601,4,0.1667,,CMCSA,100.0
-0.9044,6,0.0071,0.0526,CME,66.6667
26.4449,8,0.1674,,CMG,100.0
-2.3547,8,0.0105,0.2803,COF,62.5
26.5718,2,26.5718,,COP,100.0
2.4761,4,0.0199,2.7982,CRWD,75.0
-0.5733,4,0.0063,0.0698,DD,75.0
-1.3298,4,-0.9793,0.0174,DE,50.0
7.6908,4,0.1614,,DFS,100.0
0.0905,6,0.052,,DG,100.0
0.8278,6,0.011,4.1789,DHR,83.3333
16.9719,2,16.9719,,DLR,100.0
4.058,4,2.651,,DOW,100.0
-1.4098,2,-1.4098,0.0023,DUK,50.0
4.3862,10,0.0135,2.4018,DVN,70.0
3.5309,6,0.0102,5.6565,EA,83.3333
0.0993,4,0.0683,,EL,100.0
3.7637,4,0.1731,,EMR,100.0
-0.4081,8,0.011,0.1838,EOG,87.5
0.0485,2,0.0485,,EQIX,100.0
-2.24,2,-2.24,0.0019,EXC,50.0
-1.1476,6,0.0071,0.0205,FANG,66.6667
87.4406,6,79.8159,,FCX,100.0
7.6744,2,7.6744,,FDX,100.0
0.1193,4,0.0943,,FTNT,100.0
2.1692,4,1.952,,GD,100.0
6.8813,10,0.0706,14.7091,GE,80.0
-2.1518,6,-0.9647,0.0024,GS,50.0
1.1969,2,1.1969,,HAL,100.0
10.6795,4,2.3367,10.8198,HCA,75.0
1.8155,8,0.1663,,HLT,100.0
2.0465,4,0.131,,HON,100.0
0.0865,6,0.0754,,ICE,100.0
-4.0808,2,-4.0808,0.0,KHC,0.0
-4.7782,6,-1.7066,0.0045,KLAC,50.0
0.0874,2,0.0874,,LLY,100.0
-0.4875,12,0.0077,0.096,LOW,66.6667
4.4993,4,0.0566,9.9157,MA,75.0
6.0579,6,0.5424,,MAR,100.0
-3.5071,4,-3.5667,0.0,MDLZ,0.0
-0.9181,2,-0.9181,0.0036,MDT,50.0
-4.3262,2,-4.3262,0.0,MET,0.0
3.4529,8,0.0092,5.1937,META,75.0
14.9639,8,6.4533,,MPC,100.0
0.1378,2,0.1378,,MRK,100.0
0.1781,2,0.1781,,MRNA,100.0
5.0258,12,0.0174,6.0771,MU,75.0
-1.3648,6,0.0111,0.0485,NUE,66.6667
-0.6945,6,0.0078,0.1084,ORLY,66.6667
0.9864,2,0.9864,,OXY,100.0
-0.3583,14,0.012,0.6053,PANW,78.5714
0.0059,4,0.0053,,PFE,50.0
-2.5494,2,-2.5494,0.0,PG,0.0
-1.4819,4,-1.2083,0.0632,PGR,50.0
6.8135,6,0.0315,8.6362,PH,83.3333
14.5177,2,14.5177,,PINS,100.0
-1.211,6,-0.7501,0.0431,PNC,50.0
-3.8146,2,-3.8146,0.0,PRU,0.0
13.6416,6,0.0456,7.2347,PSX,66.6667
-4.9223,4,-4.8144,0.0,QCOM,0.0
21.7649,2,21.7649,,REGN,100.0
0.3116,2,0.3116,,ROK,100.0
0.4161,14,0.024,1.4317,ROKU,78.5714
0.1302,6,0.0111,1.3916,ROST,83.3333
-0.6358,2,-0.6358,0.0043,RTX,50.0
2.4182,4,0.0754,,SBUX,100.0
0.6907,8,0.0115,2.2262,SCHW,87.5
-3.158,2,-3.158,0.0,SHW,0.0
1.6509,2,1.6509,,SPG,100.0
10.1861,8,0.1768,5.4726,STLD,75.0
-1.4018,2,-1.4018,0.0025,TJX,50.0
3.5109,6,-0.8567,3.3487,TMO,50.0
2.3834,6,0.0123,4.371,TMUS,83.3333
-1.4209,2,-1.4209,0.0044,TRV,50.0
-2.122,10,0.0051,0.0696,TSLA,50.0
0.9465,4,0.0485,,UNH,100.0
-3.2158,2,-3.2158,0.0,VICI,0.0
-1.4842,8,0.0103,0.0317,VMC,62.5
1.0875,4,0.5638,,VRTX,100.0
2.4504,8,0.0057,3.7547,VZ,62.5
1.7518,6,0.7157,,WELL,100.0
1.7793,4,-0.9355,2.3418,XOM,50.0
1.06,12,-1.252,1.5661,YUM,50.0
