avg_return_pct,count,median_return_pct,profit_factor,ticker,win_rate_pct
2.6933,1060,0.0,2.248,AAPL,44.1509
1.4735,852,0.0,1.634,ABBV,39.3192
0.8835,1050,0.0,1.4621,ABT,39.1429
1.7367,1064,0.0,1.7407,ADBE,40.2256
-4.4654,2,-4.4654,0.0,AEP,0.0
6.1521,6,-1.7775,2.6742,AIG,33.3333
1.8362,1030,0.0,1.632,AMAT,38.2524
7.2187,6,5.535,,AMD,50.0
1.3402,1052,0.0,1.6321,AMGN,40.4943
2.569,1046,0.0,2.0548,AMZN,42.3518
2.5691,764,0.0,1.8699,ANET,42.801
5.5044,2,5.5044,,APD,100.0
0.8894,1072,0.0,1.2983,ASML,36.0075
2.3526,1142,0.0,1.7928,AVGO,38.3538
0.9777,1054,0.0,1.4292,AXP,38.2353
2.1535,1064,0.0,2.2293,AZO,43.609
1.7314,4,3.9288,2.2088,BA,75.0
-11.6856,6,-10.222,0.0,BAC,0.0
-1.4842,2,-1.4842,0.0,BK,0.0
1.8234,1050,0.0,1.7858,BKNG,38.0952
-11.8014,4,-11.8068,0.0,BKR,0.0
2.1452,1046,0.0,1.8812,BSX,40.9178
0.0,2,0.0,,C,0.0
2.4517,1030,0.0,1.9821,CAT,41.8447
17.986,2,17.986,,CB,100.0
-5.9573,6,-9.5176,0.1251,CBRE,33.3333
1.199,1002,0.0,1.3873,CCL,33.4331
1.8456,1080,0.0,1.7367,CDNS,39.3519
19.7107,6,18.0669,18.5547,CHTR,83.3333
0.3899,1048,0.0,1.2371,CL,35.4962
5.1848,2,5.1848,,CMCSA,100.0
7.8412,2,7.8412,,CME,100.0
2.6464,1082,0.0,1.9938,CMG,40.2957
17.5124,4,16.9353,,COF,50.0
0.7526,1024,0.0,1.2716,COP,35.8398
2.7548,1040,1.7952,3.121,COST,51.3462
1.9001,1032,0.0,1.6344,CRM,40.3101
11.6495,4,9.9908,,CRWD,50.0
9.4633,4,8.0021,4.1323,CSX,50.0
4.0085,2,4.0085,,DD,100.0
1.7754,1026,0.0,1.6589,DFS,33.9181
8.906,2,8.906,,DG,100.0
4.6091,2,4.6091,,DHR,100.0
0.0,2,0.0,,DIS,0.0
2.2795,1032,0.0,2.0689,DLTR,39.6318
48.024,4,44.9028,,DOW,100.0
0.5471,970,0.0,1.1469,DVN,30.2062
1.1798,1056,0.0,1.4302,EA,36.1742
1.2819,1064,0.0,1.6949,ECL,40.7895
2.1547,2,2.1547,,EL,50.0
0.6336,1056,0.0,1.2613,EMR,35.6061
29.757,6,45.7823,15.4409,EOG,66.6667
1.1139,1060,0.0,1.424,ETN,36.7925
14.6325,2,14.6325,,EXC,100.0
10.4382,4,8.9306,6.1959,F,50.0
39.7502,4,40.0592,17.7369,FANG,50.0
2.6236,982,0.0,1.7068,FCX,35.2342
10.2538,6,10.1278,,FDX,100.0
3.9835,1038,0.0,2.3884,FTNT,41.6185
0.7429,1048,0.0,1.3754,GD,36.0687
5.6478,8,-1.627,2.891,GE,37.5
1.3123,1048,0.0,1.5204,GILD,34.2557
26.6774,6,25.2786,,GM,83.3333
1.7124,1056,0.0,1.737,GOOG,39.4886
1.636,1052,0.0,1.7048,GOOGL,40.1141
38.6012,6,41.6876,15.808,HAL,66.6667
1.7979,982,0.0,1.7034,HCA,38.2892
2.3168,1046,0.0,2.3227,HD,45.2199
1.155,780,0.0,1.4812,HLT,37.8205
0.7247,1024,0.0,1.3662,HON,36.5234
1.5185,1038,0.0,1.8762,HSY,41.1368
-4.5549,2,-4.5549,0.0,ICE,0.0
