avg_return_pct,count,median_return_pct,profit_factor,ticker,win_rate_pct
-0.8629,2,-0.8629,0.0,ABT,0.0
-4.5074,2,-4.5074,0.0,ADBE,0.0
-4.4654,2,-4.4654,0.0,AEP,0.0
6.1521,6,-1.7775,2.6742,AIG,33.3333
7.2187,6,5.535,,AMD,50.0
6.219,6,6.5807,,AMZN,100.0
-5.7126,4,-5.9114,0.0,ANET,0.0
5.5044,2,5.5044,,APD,100.0
0.0,2,0.0,,ASML,0.0
23.6975,4,18.2843,7.0709,AVGO,50.0
9.6312,2,9.6312,,AZO,100.0
1.7314,4,3.9288,2.2088,BA,75.0
-11.6856,6,-10.222,0.0,BAC,0.0
-1.4842,2,-1.4842,0.0,BK,0.0
21.9719,4,27.7085,,BKNG,75.0
-11.8014,4,-11.8068,0.0,BKR,0.0
-1.2569,4,-0.9929,0.5032,BSX,50.0
0.0,2,0.0,,C,0.0
12.1913,4,12.2802,,CAT,100.0
17.986,2,17.986,,CB,100.0
-5.9573,6,-9.5176,0.1251,CBRE,33.3333
20.3734,8,16.9838,9.1709,CCL,75.0
19.7107,6,18.0669,18.5547,CHTR,83.3333
-3.1325,2,-3.1325,0.0,CL,0.0
5.1848,2,5.1848,,CMCSA,100.0
7.8412,2,7.8412,,CME,100.0
82.3713,2,82.3713,,CMG,100.0
17.5124,4,16.9353,,COF,50.0
35.956,6,52.1945,,COP,66.6667
11.6495,4,9.9908,,CRWD,50.0
9.4633,4,8.0021,4.1323,CSX,50.0
4.0085,2,4.0085,,DD,100.0
14.8108,6,0.0,3.4854,DFS,33.3333
8.906,2,8.906,,DG,100.0
4.6091,2,4.6091,,DHR,100.0
0.0,2,0.0,,DIS,0.0
48.024,4,44.9028,,DOW,100.0
28.3336,10,17.735,7.6981,DVN,60.0
-5.3775,2,-5.3775,0.0,EA,0.0
2.1547,2,2.1547,,EL,50.0
31.4115,4,33.6641,,EMR,100.0
29.757,6,45.7823,15.4409,EOG,66.6667
14.6325,2,14.6325,,EXC,100.0
10.4382,4,8.9306,6.1959,F,50.0
39.7502,4,40.0592,17.7369,FANG,50.0
70.0383,12,68.5394,67.7822,FCX,75.0
10.2538,6,10.1278,,FDX,100.0
3.9019,4,3.8276,,GD,100.0
5.6478,8,-1.627,2.891,GE,37.5
26.6774,6,25.2786,,GM,83.3333
38.6012,6,41.6876,15.808,HAL,66.6667
14.3567,2,14.3567,,HCA,100.0
5.5821,2,5.5821,,HLT,100.0
-4.5549,2,-4.5549,0.0,ICE,0.0
17.9886,6,11.4614,,IQV,100.0
-14.9681,2,-14.9681,0.0,KLAC,0.0
23.7596,2,23.7596,,LMT,100.0
-4.1252,2,-4.1252,0.0,LOW,0.0
-5.5981,2,-5.5981,0.0,LRCX,0.0
22.1167,6,-4.4354,7.8252,LULU,33.3333
-2.6934,4,-3.3264,0.5547,LYV,50.0
5.8586,2,5.8586,,MA,100.0
21.9908,6,25.655,,MAR,100.0
-4.6198,4,-5.6855,0.0,MET,0.0
-1.8388,10,-3.9564,0.5152,META,20.0
34.8912,6,36.5758,,MPC,100.0
3.3375,4,3.0932,,MS,100.0
-4.1108,2,-4.1108,0.0,MSFT,0.0
18.3584,6,2.0839,,MU,50.0
8.1415,16,0.0,3.8513,NFLX,43.75
57.584,2,57.584,,NKE,100.0
13.4733,6,12.7498,19.2367,NOW,50.0
13.2604,4,13.9226,7.2572,NSC,50.0
-7.6685,2,-7.6685,0.0,NUE,0.0
-5.7669,6,-4.3311,0.0,NVDA,0.0
-1.2105,6,0.0,0.0,ORCL,0.0
-2.8204,2,-2.8204,0.0,ORLY,0.0
14.2402,4,14.3499,,OXY,75.0
15.6672,10,6.3678,22.3135,PANW,90.0
24.1637,2,24.1637,,PEG,100.0
0.0,4,0.0,,PFE,0.0
-2.8377,2,-2.8377,0.0,PG,0.0
-4.6422,2,-4.6422,0.0,PGR,0.0
19.0286,4,17.0927,4.544,PH,50.0
28.604,2,28.604,,PINS,100.0
-0.3036,4,0.0,0.7983,PNC,25.0
-5.0751,2,-5.0751,0.0,PRU,0.0
30.8759,6,45.7382,12.9639,PSX,66.6667
1.571,6,7.966,1.3413,PYPL,66.6667
3.2458,14,1.2386,1.6326,RCL,50.0
10.7271,2,10.7271,,REGN,100.0
1.1691,4,0.0,,ROK,25.0
19.6906,8,2.1107,8.3448,ROKU,50.0
2.7203,2,2.7203,,ROST,50.0
9.407,2,9.407,,SBUX,100.0
0.6629,6,2.9694,1.3071,SCHW,66.6667
2.128,2,2.128,2.0257,SHW,50.0
13.6051,6,4.8466,,SLB,50.0
-7.9661,10,-15.0312,0.1969,SNAP,40.0
3.9038,6,7.9057,1.8124,SNOW,66.6667
18.3195,2,18.3195,,SO,100.0
-13.1474,2,-13.1474,0.0,SPG,0.0
-3.465,4,-3.9606,0.5126,SPOT,50.0
20.639,2,20.639,,SRE,100.0
