ticker,signal_date,horizon,entry_label,entry_strategy,selected_setup,entry_date,entry_index,entry_price,entry_method,entry_wait_days,position_size_multiplier,applied_size_caps,initial_stop,target_1,target_1_hit,partial_exit_pct,exit_date,exit_index,exit_price,exit_reason,days_held,realized_return_pct,mae_pct,mfe_pct,mfe_capture_pct,event_count,market_regime,archetype,source_decision
ABT,2018-02-16,medium_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2018-02-20,2046,59.68,NEXT_OPEN,0,0.5,,55.557,67.9261,False,0.0,2018-03-23,2069,59.68,STOP_LOSS_EXIT,23,0.0,-2.0945,7.1548,0.0,2,BULL_RISK_ON,TECHNICAL_NATIVE,
ABT,2018-02-16,short_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2018-02-20,2046,59.68,NEXT_OPEN,0,0.5,,55.1821,66.4268,False,0.0,2018-04-25,2091,58.65,MAX_SIM_WINDOW_EXIT,45,-1.7259,-4.5074,7.1548,-24.1219,1,BULL_RISK_ON,TECHNICAL_NATIVE,
ADBE,2023-04-12,medium_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2023-04-13,3341,373.2,NEXT_OPEN,0,0.5,,359.1413,401.3175,False,0.0,2023-04-26,3350,359.1413,STOP_LOSS_EXIT,9,-3.7671,-4.2738,2.6246,-143.5292,1,BULL_RISK_ON,TECHNICAL_NATIVE,
ADBE,2023-04-12,short_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2023-04-13,3341,373.2,NEXT_OPEN,0,0.5,,353.616,402.576,False,0.0,2023-05-03,3355,353.616,STOP_LOSS_EXIT,14,-5.2476,-7.7613,2.6246,-199.9386,1,BULL_RISK_ON,TECHNICAL_NATIVE,
AEP,2024-03-12,medium_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2024-03-13,3571,83.58,NEXT_OPEN,0,0.5,,80.4668,89.8065,False,0.0,2024-04-16,3594,80.4668,STOP_LOSS_EXIT,23,-3.7248,-5.2883,3.1826,-117.0368,1,BULL_RISK_ON,TECHNICAL_NATIVE,
AEP,2024-03-12,short_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2024-03-13,3571,83.58,NEXT_OPEN,0,0.5,,79.2288,90.1068,False,0.0,2024-04-16,3594,79.2288,STOP_LOSS_EXIT,23,-5.206,-5.2883,3.1826,-163.5779,1,BULL_RISK_ON,TECHNICAL_NATIVE,
AIG,2020-03-13,medium_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-03-16,2566,23.88,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,21.84,27.96,False,0.0,2020-03-17,2567,21.84,STOP_LOSS_EXIT,1,-8.5427,-14.0704,0.6281,-1360.0881,1,BEAR_RISK_OFF,TECHNICAL_NATIVE,
AIG,2020-03-13,short_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-03-16,2566,23.88,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,21.504,27.444,False,0.0,2020-03-17,2567,21.504,STOP_LOSS_EXIT,1,-9.9497,-14.0704,0.6281,-1584.1026,1,BEAR_RISK_OFF,TECHNICAL_NATIVE,
AIG,2020-03-27,medium_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-03-30,2576,25.0,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,15.6683,43.6635,False,0.0,2020-10-30,2726,31.49,MAX_SIM_WINDOW_EXIT,150,25.96,-20.4,58.04,44.7278,2,BEAR_RISK_OFF,TECHNICAL_NATIVE,
AIG,2020-03-27,short_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2020-03-30,2576,25.0,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,15.4272,39.3592,False,0.0,2020-06-03,2621,33.25,MAX_SIM_WINDOW_EXIT,45,33.0,-20.4,33.88,97.4026,1,BEAR_RISK_OFF,TECHNICAL_NATIVE,
AIG,2023-08-14,medium_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2023-08-15,3426,59.15,NEXT_OPEN,0,0.5,,57.0472,63.3555,False,0.0,2023-08-22,3431,57.0472,STOP_LOSS_EXIT,5,-3.555,-3.601,0.4903,-725.0723,1,BULL_RISK_ON,TECHNICAL_NATIVE,
AIG,2023-08-14,short_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2023-08-15,3426,59.15,NEXT_OPEN,0,0.5,,56.1696,63.6206,False,0.0,2023-10-03,3460,59.15,STOP_LOSS_EXIT,34,0.0,-3.601,6.4074,0.0,2,BULL_RISK_ON,TECHNICAL_NATIVE,
AMD,2011-10-07,medium_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2011-10-10,446,4.85,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,4.2022,6.1455,False,0.0,2011-12-19,495,4.85,STOP_LOSS_EXIT,49,0.0,-8.2474,24.7423,0.0,2,BEAR_RISK_OFF,TECHNICAL_NATIVE,
AMD,2011-10-07,short_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2011-10-10,446,4.85,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,4.1376,5.9186,True,33.0,2011-11-23,478,5.125,TRAILING_STOP_EXIT,32,11.0699,-8.2474,24.7423,44.7406,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
AMD,2014-05-19,medium_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2014-05-20,1101,4.09,NEXT_OPEN,0,0.5,,3.7659,4.7382,False,0.0,2014-06-20,1123,4.09,STOP_LOSS_EXIT,22,0.0,-4.1565,10.0244,0.0,2,BULL_RISK_ON,TECHNICAL_NATIVE,
AMD,2014-05-19,short_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2014-05-20,1101,4.09,NEXT_OPEN,0,0.5,,3.7364,4.6204,False,0.0,2014-06-20,1123,4.09,STOP_LOSS_EXIT,22,0.0,-4.1565,10.0244,0.0,2,BULL_RISK_ON,TECHNICAL_NATIVE,
AMD,2022-10-18,medium_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2022-10-19,3221,57.325,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,53.2058,65.5635,True,33.0,2022-12-16,3262,65.3039,TRAILING_STOP_EXIT,41,14.0681,-2.8173,38.2119,36.8161,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
AMD,2022-10-18,short_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2022-10-19,3221,57.325,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,52.3872,64.7317,True,33.0,2022-12-09,3257,69.2267,TRAILING_STOP_EXIT,36,18.1742,-2.8173,38.2119,47.5617,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
AMZN,2018-05-15,medium_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2018-05-16,2106,78.88,NEXT_OPEN,0,0.5,,75.3675,85.905,True,33.0,2018-06-25,2133,82.6929,TRAILING_STOP_EXIT,27,6.1776,-0.7099,11.752,52.5661,3,BULL_RISK_ON,TECHNICAL_NATIVE,
AMZN,2018-05-15,short_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2018-05-16,2106,78.88,NEXT_OPEN,0,0.5,,74.4593,85.5111,True,33.0,2018-06-25,2133,84.33,TRAILING_STOP_EXIT,27,7.4034,-0.7099,11.752,62.9965,3,BULL_RISK_ON,TECHNICAL_NATIVE,
AMZN,2022-05-18,medium_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2022-05-19,3116,106.28,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,99.8498,119.1405,True,33.0,2022-06-13,3132,106.28,TRAILING_STOP_EXIT,16,3.9932,-4.7234,21.3681,18.6876,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
AMZN,2022-05-18,short_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2022-05-19,3116,106.28,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,98.3136,118.2296,True,33.0,2022-06-10,3131,111.4725,TRAILING_STOP_EXIT,15,6.9838,-4.7234,21.3681,32.6831,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
AMZN,2022-05-25,medium_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2022-05-26,3121,107.97,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,98.7285,126.453,True,33.0,2022-06-13,3132,107.97,TRAILING_STOP_EXIT,11,5.6492,-5.659,19.4684,29.017,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
AMZN,2022-05-25,short_term,BUY_FULL,quality_dislocation,BROKEN_CHART_QUALITY_RECOVERY,2022-05-26,3121,107.97,NEXT_OPEN,0,0.5,HIGH_ATR_CAP,97.2096,124.1106,True,33.0,2022-06-10,3131,111.4725,TRAILING_STOP_EXIT,10,7.1067,0.0,19.4684,36.5036,3,BEAR_RISK_OFF,TECHNICAL_NATIVE,
ANET,2022-01-05,medium_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2022-01-06,1911,32.94,NEXT_OPEN,0,0.5,,32.0872,34.6455,False,0.0,2022-01-10,1913,32.0872,STOP_LOSS_EXIT,2,-2.5889,-4.4627,2.4894,-103.9989,1,BULL_RISK_ON,TECHNICAL_NATIVE,
ANET,2022-01-05,short_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2022-01-06,1911,32.94,NEXT_OPEN,0,0.5,,31.5936,34.9596,False,0.0,2022-01-10,1913,31.5936,STOP_LOSS_EXIT,2,-4.0874,-4.4627,2.4894,-164.1934,1,BULL_RISK_ON,TECHNICAL_NATIVE,
ANET,2024-08-22,medium_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2024-08-23,2571,88.75,NEXT_OPEN,0,0.5,,81.8848,102.4804,False,0.0,2024-09-03,2577,81.8848,STOP_LOSS_EXIT,6,-7.7354,-8.5634,0.8451,-915.328,1,BULL_RISK_ON,TECHNICAL_NATIVE,
ANET,2024-08-22,short_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2024-08-23,2571,88.75,NEXT_OPEN,0,0.5,,81.2607,99.9839,False,0.0,2024-09-03,2577,81.2607,STOP_LOSS_EXIT,6,-8.4386,-8.5634,0.8451,-998.5384,1,BULL_RISK_ON,TECHNICAL_NATIVE,
APD,2013-08-15,medium_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2013-08-16,911,93.37,NEXT_OPEN,0,0.5,,89.9243,100.2615,True,33.0,2013-10-08,947,96.0543,TRAILING_STOP_EXIT,36,4.3619,-0.407,13.6232,32.0179,3,BULL_RISK_ON,TECHNICAL_NATIVE,
APD,2013-08-15,short_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2013-08-16,911,93.37,NEXT_OPEN,0,0.5,,88.5408,100.6138,True,33.0,2013-09-27,940,99.065,TRAILING_STOP_EXIT,29,6.6468,-0.407,13.6232,48.7902,3,BULL_RISK_ON,TECHNICAL_NATIVE,
ASML,2025-12-26,medium_term,BUY_STARTER,bull_pullback_entry,GROWTH_LEADER_PULLBACK,2025-12-29,4021,1064.58,NEXT_OPEN,0,0.5,,996.3623,1201.0154,False,0.0,2025-12-31,4023,1069.86,MAX_SIM_WINDOW_EXIT,2,0.0,0.0,2.0177,0.0,0,BULL_RISK_ON,TECHNICAL_NATIVE,
