feature,group,auc,separation,top_bot_decile_pts,monotonic,n,window,auc_train,separation_train,auc_recent,separation_recent
earnings_within_30_days,OTHER,0.205,0.589,,True,2470,ALL,0.195,0.611,0.239,0.522
regime_confidence,OTHER,0.256,0.489,-13.4,False,2470,ALL,0.252,0.496,0.271,0.457
dividend_yield,OTHER,0.403,0.194,-30.7,False,1498,ALL,0.431,0.138,0.254,0.491
analyst_target_price,FUND,0.58,0.159,17.0,False,2458,ALL,0.56,0.119,0.672,0.344
ev_to_ebitda,FUND,0.572,0.143,20.3,False,2470,ALL,0.55,0.1,0.642,0.284
analyst_recommendation,FUND,0.429,0.141,-16.8,False,2385,ALL,0.458,0.084,0.33,0.341
roic,FUND,0.563,0.126,14.4,False,2470,ALL,0.558,0.117,0.599,0.199
atr_percent,OTHER,0.561,0.122,22.6,False,2271,ALL,0.566,0.132,0.559,0.119
sales_growth_yoy,FUND,0.561,0.121,14.9,False,2470,ALL,0.535,0.07,0.68,0.36
roa,FUND,0.559,0.118,20.6,False,2470,ALL,0.555,0.11,0.588,0.177
price_to_sales,FUND,0.554,0.108,18.9,False,2470,ALL,0.535,0.069,0.631,0.262
dist_from_20d_high,TECH,0.449,0.101,-22.2,False,2271,ALL,0.435,0.131,0.513,0.026
dist_from_52w_low,OTHER,0.55,0.1,11.2,False,2271,ALL,0.545,0.09,0.613,0.226
trailing_pe,FUND,0.549,0.097,9.6,False,2359,ALL,0.538,0.076,0.578,0.156
forward_pe,FUND,0.547,0.094,18.2,False,2458,ALL,0.532,0.064,0.602,0.203
beta,OTHER,0.546,0.091,9.0,False,2470,ALL,0.533,0.065,0.62,0.241
perf_1w,TECH,0.455,0.09,-12.0,False,2271,ALL,0.452,0.097,0.496,0.007
max_drawdown_1y,TECH,0.455,0.089,-18.2,False,2271,ALL,0.435,0.131,0.548,0.096
dist_from_52w_high,TECH,0.457,0.087,-18.2,False,2271,ALL,0.436,0.128,0.55,0.101
max_drawdown_3m,TECH,0.458,0.085,-14.3,False,2271,ALL,0.443,0.113,0.527,0.054
breakout_volume_multiple,OTHER,0.461,0.077,-7.7,False,2271,ALL,0.443,0.113,0.505,0.01
rsi14,TECH,0.464,0.072,-12.5,False,2271,ALL,0.449,0.101,0.535,0.07
extension_pct_above_20ma,TECH,0.465,0.071,-9.4,False,2271,ALL,0.452,0.097,0.522,0.043
market_cap,OTHER,0.536,0.071,12.4,False,2470,ALL,0.512,0.024,0.651,0.302
sma20_relative,TECH,0.465,0.071,-9.4,False,2271,ALL,0.452,0.097,0.522,0.043
gross_margin,FUND,0.535,0.07,8.8,False,2470,ALL,0.524,0.049,0.595,0.19
perf_1y,TECH,0.468,0.065,-20.0,False,2271,ALL,0.451,0.099,0.555,0.11
roe,FUND,0.532,0.064,2.3,False,2470,ALL,0.528,0.055,0.59,0.18
rsi_slope,TECH,0.469,0.063,-14.7,False,2271,ALL,0.475,0.049,0.476,0.047
perf_1m,TECH,0.469,0.061,-5.0,False,2271,ALL,0.444,0.112,0.559,0.117
current_ratio,FUND,0.53,0.06,8.2,False,2470,ALL,0.531,0.063,0.51,0.02
peg_ratio,FUND,0.47,0.059,-10.5,False,2447,ALL,0.469,0.062,0.486,0.028
extension_pct_above_50ma,TECH,0.471,0.059,-6.4,False,2271,ALL,0.453,0.093,0.55,0.101
sma50_relative,TECH,0.471,0.059,-6.4,False,2271,ALL,0.453,0.093,0.55,0.101
updown_volume_ratio,OTHER,0.472,0.056,-7.3,False,2271,ALL,0.456,0.087,0.542,0.083
sma200_slope,TECH,0.473,0.053,-10.5,False,2271,ALL,0.458,0.085,0.57,0.141
net_margin,FUND,0.526,0.051,4.7,False,2470,ALL,0.511,0.023,0.598,0.196
insider_ownership,FUND,0.525,0.05,5.4,False,2458,ALL,0.524,0.048,0.558,0.116
sma20_slope,TECH,0.477,0.047,-3.7,False,2271,ALL,0.455,0.091,0.55,0.1
institutional_ownership,FUND,0.523,0.047,0.5,False,2458,ALL,0.528,0.055,0.504,0.007
eps_growth_yoy,FUND,0.519,0.038,0.2,False,2470,ALL,0.501,0.003,0.631,0.262
operating_margin,FUND,0.518,0.037,3.6,False,2470,ALL,0.511,0.023,0.559,0.118
sma200_relative,TECH,0.481,0.037,-5.0,False,2271,ALL,0.464,0.072,0.599,0.199
rs_vs_spy_63d,TECH,0.511,0.022,5.1,False,2271,ALL,0.502,0.003,0.552,0.105
volume_dryup_ratio,OTHER,0.51,0.019,1.1,False,2271,ALL,0.494,0.012,0.538,0.076
perf_6m,TECH,0.509,0.018,2.0,False,2271,ALL,0.498,0.004,0.592,0.183
earnings_days_away,OTHER,0.508,0.017,5.6,False,2470,ALL,0.508,0.016,0.506,0.013
sma50_slope,TECH,0.508,0.015,4.6,False,2271,ALL,0.496,0.008,0.558,0.115
short_float,FUND,0.493,0.014,1.7,False,2445,ALL,0.513,0.025,0.414,0.171
change_from_open_percent,OTHER,0.493,0.014,0.0,False,2470,ALL,0.489,0.022,0.536,0.072
rs_vs_spy_20d,TECH,0.505,0.01,4.6,False,2271,ALL,0.485,0.029,0.564,0.128
rs_vs_spy,TECH,0.505,0.01,4.6,False,2271,ALL,0.485,0.029,0.564,0.128
perf_3m,TECH,0.502,0.003,-2.0,False,2271,ALL,0.489,0.022,0.562,0.125
gap_percent,OTHER,0.501,0.002,-1.1,False,2271,ALL,0.485,0.031,0.543,0.086
