feature,group,auc,separation,top_bot_decile_pts,monotonic,n,window,auc_train,separation_train,auc_recent,separation_recent
earnings_within_30_days,OTHER,0.149,0.702,,True,946,ALL,0.147,0.705,,
dividend_yield,OTHER,0.316,0.368,-49.7,False,576,ALL,0.319,0.363,,
analyst_target_price,FUND,0.66,0.321,41.7,False,941,ALL,0.658,0.317,,
regime_confidence,OTHER,0.353,0.294,-9.7,False,946,ALL,0.353,0.294,,
roic,FUND,0.623,0.245,36.1,False,946,ALL,0.624,0.249,,
ev_to_ebitda,FUND,0.62,0.24,35.4,False,946,ALL,0.621,0.241,,
roa,FUND,0.605,0.21,33.4,False,946,ALL,0.607,0.214,,
sales_growth_yoy,FUND,0.601,0.201,24.5,False,946,ALL,0.602,0.204,,
analyst_recommendation,FUND,0.404,0.193,-28.2,False,913,ALL,0.402,0.196,,
beta,OTHER,0.588,0.175,19.5,False,946,ALL,0.586,0.172,,
price_to_sales,FUND,0.586,0.172,26.3,False,946,ALL,0.584,0.168,,
forward_pe,FUND,0.585,0.17,28.6,False,941,ALL,0.583,0.165,,
atr_percent,OTHER,0.583,0.165,18.7,False,748,ALL,0.582,0.164,,
trailing_pe,FUND,0.58,0.16,9.4,False,904,ALL,0.579,0.157,,
breakout_volume_multiple,OTHER,0.423,0.154,-21.3,False,748,ALL,0.422,0.157,,
insider_ownership,FUND,0.573,0.146,20.2,False,941,ALL,0.573,0.145,,
volume_dryup_ratio,OTHER,0.431,0.137,-24.0,False,748,ALL,0.434,0.132,,
market_cap,OTHER,0.568,0.135,25.6,False,946,ALL,0.564,0.129,,
change_from_open_percent,OTHER,0.433,0.133,3.2,False,946,ALL,0.432,0.136,,
perf_1w,TECH,0.434,0.133,-16.0,False,748,ALL,0.428,0.144,,
roe,FUND,0.565,0.13,3.2,False,946,ALL,0.568,0.136,,
dist_from_20d_high,TECH,0.438,0.124,-18.7,False,748,ALL,0.438,0.124,,
rsi_slope,TECH,0.445,0.109,-18.7,False,748,ALL,0.442,0.117,,
max_drawdown_3m,TECH,0.453,0.095,-20.0,False,748,ALL,0.454,0.093,,
dist_from_52w_high,TECH,0.455,0.09,-18.7,False,748,ALL,0.456,0.087,,
max_drawdown_1y,TECH,0.456,0.088,-20.0,False,748,ALL,0.457,0.086,,
net_margin,FUND,0.543,0.086,8.9,False,946,ALL,0.544,0.089,,
perf_1m,TECH,0.457,0.085,-4.0,False,748,ALL,0.46,0.08,,
perf_1y,TECH,0.541,0.082,0.0,False,748,ALL,0.542,0.084,,
gap_percent,OTHER,0.541,0.081,28.0,False,748,ALL,0.537,0.075,,
perf_3m,TECH,0.463,0.075,-12.0,False,748,ALL,0.463,0.074,,
sma50_slope,TECH,0.464,0.072,-10.7,False,748,ALL,0.465,0.069,,
operating_margin,FUND,0.535,0.07,13.2,False,946,ALL,0.536,0.071,,
institutional_ownership,FUND,0.535,0.07,2.7,False,941,ALL,0.537,0.075,,
dist_from_52w_low,OTHER,0.532,0.065,8.0,False,748,ALL,0.53,0.06,,
eps_growth_yoy,FUND,0.531,0.061,-0.2,False,946,ALL,0.532,0.064,,
sma20_relative,TECH,0.471,0.057,-1.3,False,748,ALL,0.469,0.062,,
gross_margin,FUND,0.528,0.057,9.7,False,946,ALL,0.529,0.058,,
extension_pct_above_20ma,TECH,0.471,0.057,-1.3,False,748,ALL,0.469,0.062,,
rs_vs_spy,TECH,0.474,0.052,-8.0,False,748,ALL,0.478,0.045,,
rs_vs_spy_20d,TECH,0.474,0.052,-8.0,False,748,ALL,0.478,0.045,,
short_float,FUND,0.476,0.048,-1.2,False,936,ALL,0.477,0.045,,
peg_ratio,FUND,0.476,0.047,-20.3,False,937,ALL,0.474,0.051,,
sma50_relative,TECH,0.477,0.046,-6.7,False,748,ALL,0.479,0.042,,
extension_pct_above_50ma,TECH,0.477,0.046,-6.7,False,748,ALL,0.479,0.042,,
rsi14,TECH,0.477,0.046,0.0,False,748,ALL,0.477,0.047,,
sma20_slope,TECH,0.477,0.046,-5.3,False,748,ALL,0.481,0.038,,
current_ratio,FUND,0.521,0.042,8.7,False,946,ALL,0.52,0.039,,
perf_6m,TECH,0.483,0.034,-10.7,False,748,ALL,0.484,0.032,,
sma200_relative,TECH,0.484,0.031,-8.0,False,748,ALL,0.485,0.029,,
earnings_days_away,OTHER,0.513,0.026,11.1,False,946,ALL,0.512,0.024,,
updown_volume_ratio,OTHER,0.512,0.024,-1.3,False,748,ALL,0.512,0.024,,
sma200_slope,TECH,0.492,0.016,-8.0,False,748,ALL,0.493,0.014,,
rs_vs_spy_63d,TECH,0.503,0.006,-12.0,False,748,ALL,0.503,0.006,,
