card,n_signals,corr_with_return,quartile_returns,avg_score
volatility_risk,71079,0.2612,"{'Q1 Low': np.float64(9.71), 'Q2': np.float64(11.43), 'Q3': np.float64(15.38), 'Q4 High': np.float64(35.36)}",52.9
valuation,71079,-0.1287,{},51.7
quality,71079,0.1228,"{'Q1 Low': np.float64(12.35), 'Q2': np.float64(15.61), 'Q3': np.float64(19.7), 'Q4 High': np.float64(28.06)}",49.2
growth,71079,0.1097,"{'Q1 Low': np.float64(12.84), 'Q2': np.float64(16.08), 'Q3': np.float64(17.05), 'Q4 High': np.float64(32.03)}",61.1
catalyst,71079,0.0933,{},63.6
trend,71079,-0.0851,"{'Q1 Low': np.float64(22.14), 'Q2': np.float64(19.38), 'Q3': np.float64(15.28), 'Q4 High': np.float64(12.82)}",59.9
ownership,71079,0.0506,"{'Q1 Low': np.float64(15.99), 'Q2': np.float64(15.75), 'Q3': np.float64(17.87), 'Q4 High': np.float64(25.81)}",76.3
momentum,71079,-0.0287,"{'Q1 Low': np.float64(19.01), 'Q2': np.float64(18.32), 'Q3': np.float64(17.99), 'Q4 High': np.float64(15.11)}",54.2
volume_accumulation,71079,-0.0193,"{'Q1 Low': np.float64(18.67), 'Q2': np.float64(17.86), 'Q3': np.float64(17.54), 'Q4 High': np.float64(16.48)}",50.6
relative_strength,71079,-0.017,"{'Q1 Low': np.float64(20.11), 'Q2': np.float64(16.78), 'Q3': np.float64(15.66), 'Q4 High': np.float64(18.03)}",48.0
entry_timing,71079,-0.0104,"{'Q1 Low': np.float64(17.4), 'Q2': np.float64(17.94), 'Q3': np.float64(18.71), 'Q4 High': np.float64(16.59)}",56.0
