regime,decision,count,avg_return_pct,win_rate_pct,avg_excess_spy_pct
BEAR_RISK_OFF,BROKEN_SUPPORT_AVOID,999,15.7,79.3,3.77
BEAR_RISK_OFF,OVERSOLD_REBOUND_CANDIDATE,1219,12.82,72.4,4.01
BEAR_RISK_OFF,TRUE_DOWNTREND_AVOID,1277,8.35,71.1,2.06
BEAR_RISK_OFF,WATCHLIST,8424,7.01,66.6,0.7
BULL_NARROW_LEADERSHIP,WATCHLIST,979,-0.16,49.2,-1.09
BULL_RISK_ON,BROKEN_SUPPORT_AVOID,720,0.5,47.9,-0.94
BULL_RISK_ON,BUY_ON_PULLBACK,2596,2.61,56.9,0.14
BULL_RISK_ON,BUY_STARTER_STRONG_BUT_EXTENDED,277,13.54,73.6,6.9
BULL_RISK_ON,OVERSOLD_REBOUND_CANDIDATE,1619,1.03,52.3,-0.62
BULL_RISK_ON,TRUE_DOWNTREND_AVOID,1610,2.51,54.5,0.28
BULL_RISK_ON,WAIT_FOR_PULLBACK,4208,2.16,57.4,0.04
BULL_RISK_ON,WATCHLIST,37915,2.77,57.9,0.02
LIQUIDITY_RALLY,BROKEN_SUPPORT_AVOID,28,27.73,71.4,19.36
LIQUIDITY_RALLY,BUY_ON_PULLBACK,135,7.81,72.6,-0.31
LIQUIDITY_RALLY,BUY_STARTER_STRONG_BUT_EXTENDED,3,47.29,100.0,36.73
LIQUIDITY_RALLY,OVERSOLD_REBOUND_CANDIDATE,62,18.66,82.3,10.26
LIQUIDITY_RALLY,TRUE_DOWNTREND_AVOID,79,5.61,58.2,3.05
LIQUIDITY_RALLY,WAIT_FOR_PULLBACK,140,4.85,65.7,-2.53
LIQUIDITY_RALLY,WATCHLIST,1905,8.44,67.2,2.38
SIDEWAYS_CHOPPY,BROKEN_SUPPORT_AVOID,337,2.8,53.1,-0.5
SIDEWAYS_CHOPPY,BUY_ON_PULLBACK,1421,4.22,62.6,-0.7
SIDEWAYS_CHOPPY,BUY_STARTER_STRONG_BUT_EXTENDED,1,-5.07,0.0,-11.65
SIDEWAYS_CHOPPY,OVERSOLD_REBOUND_CANDIDATE,1495,7.14,69.7,2.08
SIDEWAYS_CHOPPY,TRUE_DOWNTREND_AVOID,859,6.13,63.1,1.9
SIDEWAYS_CHOPPY,WAIT_FOR_PULLBACK,435,3.04,58.2,-0.9
SIDEWAYS_CHOPPY,WATCHLIST,10244,4.51,61.9,0.62
