archetype,decision,count,avg_return_pct,win_rate_pct,avg_excess_spy_pct
HYPER_GROWTH,BROKEN_SUPPORT_AVOID,184,2.68,59.8,0.98
HYPER_GROWTH,BUY_ON_PULLBACK,297,2.31,57.9,1.18
HYPER_GROWTH,BUY_STARTER_STRONG_BUT_EXTENDED,52,8.42,76.9,6.43
HYPER_GROWTH,OVERSOLD_REBOUND_CANDIDATE,303,3.2,57.1,1.19
HYPER_GROWTH,TRUE_DOWNTREND_AVOID,263,2.82,53.6,1.71
HYPER_GROWTH,WAIT_FOR_PULLBACK,324,1.48,54.3,0.85
HYPER_GROWTH,WATCHLIST,4315,2.51,59.1,1.41
MATURE_VALUE,BROKEN_SUPPORT_AVOID,39,0.81,51.3,-1.54
MATURE_VALUE,BUY_STARTER_STRONG_BUT_EXTENDED,17,-2.56,52.9,-4.82
MATURE_VALUE,OVERSOLD_REBOUND_CANDIDATE,71,3.37,60.6,0.84
MATURE_VALUE,TRUE_DOWNTREND_AVOID,81,1.21,64.2,-0.66
MATURE_VALUE,WAIT_FOR_PULLBACK,26,-1.52,53.8,-3.54
MATURE_VALUE,WATCHLIST,1040,0.96,54.8,-1.26
PROFITABLE_GROWTH,BROKEN_SUPPORT_AVOID,1855,4.13,64.3,0.92
PROFITABLE_GROWTH,BUY_ON_PULLBACK,3949,0.73,55.6,-0.15
PROFITABLE_GROWTH,BUY_STARTER_STRONG_BUT_EXTENDED,175,4.97,71.4,2.81
PROFITABLE_GROWTH,OVERSOLD_REBOUND_CANDIDATE,4027,2.67,61.2,0.35
PROFITABLE_GROWTH,TRUE_DOWNTREND_AVOID,3499,2.22,60.5,0.66
PROFITABLE_GROWTH,WAIT_FOR_PULLBACK,4411,0.62,54.4,-0.14
PROFITABLE_GROWTH,WATCHLIST,53392,1.01,56.2,0.0
SPECULATIVE_STORY,BROKEN_SUPPORT_AVOID,7,6.53,85.7,3.73
SPECULATIVE_STORY,BUY_STARTER_STRONG_BUT_EXTENDED,102,3.24,61.8,1.02
SPECULATIVE_STORY,OVERSOLD_REBOUND_CANDIDATE,26,11.73,84.6,7.32
SPECULATIVE_STORY,TRUE_DOWNTREND_AVOID,16,5.77,62.5,3.38
SPECULATIVE_STORY,WAIT_FOR_PULLBACK,30,3.41,63.3,1.59
SPECULATIVE_STORY,WATCHLIST,425,0.52,50.1,-1.89
TURNAROUND,BROKEN_SUPPORT_AVOID,33,4.27,75.8,3.42
TURNAROUND,BUY_STARTER_STRONG_BUT_EXTENDED,41,-0.71,41.5,-2.47
TURNAROUND,OVERSOLD_REBOUND_CANDIDATE,112,1.84,58.0,-0.63
TURNAROUND,TRUE_DOWNTREND_AVOID,80,1.29,57.5,-0.13
TURNAROUND,WAIT_FOR_PULLBACK,67,1.37,59.7,-1.09
TURNAROUND,WATCHLIST,1510,1.21,55.9,-0.69
