month,signals,avg_return_pct,win_rate_pct,buy_signals,avoid_signals
2021-01,12,51.96,100.0,4,0
2021-02,12,36.9,100.0,4,0
2021-03,15,38.11,66.7,5,0
2021-04,12,23.19,66.7,3,0
2021-05,15,5.26,66.7,5,0
2021-06,12,-8.37,41.7,1,0
2021-07,12,-13.33,33.3,2,0
2021-08,15,-9.57,33.3,4,0
2021-09,12,-20.92,33.3,3,0
2021-10,12,-23.38,16.7,4,0
2021-11,15,-23.79,13.3,3,0
2021-12,12,-25.98,0.0,0,0
2022-01,15,-20.17,0.0,1,0
2022-02,12,-7.01,8.3,0,0
2022-03,12,0.79,41.7,0,0
2022-04,12,8.42,75.0,0,0
2022-05,15,34.89,100.0,0,0
2022-06,12,68.25,100.0,0,0
2022-07,12,85.34,100.0,0,0
2022-08,15,68.22,100.0,0,0
2022-09,12,91.88,100.0,1,0
2022-10,15,100.09,100.0,2,0
2022-11,12,86.33,100.0,4,0
2022-12,12,87.13,100.0,4,0
2023-01,15,98.27,100.0,5,0
2023-02,12,93.81,100.0,4,0
2023-03,12,109.67,100.0,1,0
2023-04,12,85.48,100.0,2,0
2023-05,15,86.39,100.0,4,0
2023-06,12,90.74,100.0,4,0
2023-07,15,78.71,100.0,5,0
2023-08,12,74.9,100.0,3,0
2023-09,12,76.18,100.0,1,0
2023-10,15,97.33,100.0,1,0
2023-11,12,96.46,100.0,3,0
2023-12,12,90.46,100.0,4,0
