archetype,decision,count,avg_return_pct,win_rate_pct,avg_excess_spy_pct
HYPER_GROWTH,AVOID_BAD_BUSINESS,22,3.26,54.5,2.68
HYPER_GROWTH,BUY_NOW,11,33.11,72.7,28.77
HYPER_GROWTH,BUY_ON_PULLBACK,9,13.81,55.6,14.69
HYPER_GROWTH,BUY_STARTER,71,23.14,78.9,19.88
HYPER_GROWTH,WATCHLIST_NEEDS_CONFIRMATION,43,20.54,62.8,17.44
PROFITABLE_GROWTH,AVOID_BAD_BUSINESS,59,3.66,57.6,2.97
PROFITABLE_GROWTH,BUY_NOW,47,1.19,46.8,-2.87
PROFITABLE_GROWTH,BUY_ON_PULLBACK,4,4.58,75.0,-0.14
PROFITABLE_GROWTH,BUY_STARTER,96,2.97,56.2,-0.12
PROFITABLE_GROWTH,WATCHLIST_NEEDS_CONFIRMATION,106,4.56,67.9,1.84
