regime,decision,count,avg_return_pct,win_rate_pct,avg_excess_spy_pct
BEAR_RISK_OFF,AVOID_BAD_BUSINESS,53,3.18,58.5,2.12
BEAR_RISK_OFF,BUY_ON_PULLBACK,4,26.61,100.0,21.36
BEAR_RISK_OFF,BUY_STARTER,4,6.62,100.0,4.69
BEAR_RISK_OFF,WATCHLIST_NEEDS_CONFIRMATION,38,4.29,39.5,5.12
BULL_NARROW_LEADERSHIP,AVOID_BAD_BUSINESS,2,3.18,50.0,8.56
BULL_NARROW_LEADERSHIP,BUY_NOW,2,2.8,100.0,-0.95
BULL_NARROW_LEADERSHIP,BUY_ON_PULLBACK,2,10.9,50.0,16.28
BULL_NARROW_LEADERSHIP,BUY_STARTER,4,18.16,50.0,18.98
BULL_NARROW_LEADERSHIP,WATCHLIST_NEEDS_CONFIRMATION,2,18.06,100.0,14.3
BULL_RISK_ON,AVOID_BAD_BUSINESS,8,6.37,62.5,4.73
BULL_RISK_ON,BUY_NOW,56,7.4,50.0,3.27
BULL_RISK_ON,BUY_ON_PULLBACK,3,19.3,66.7,9.17
BULL_RISK_ON,BUY_STARTER,134,12.11,68.7,8.67
BULL_RISK_ON,WATCHLIST_NEEDS_CONFIRMATION,57,12.82,80.7,7.66
LIQUIDITY_RALLY,AVOID_BAD_BUSINESS,1,-17.17,0.0,-1.03
LIQUIDITY_RALLY,BUY_ON_PULLBACK,1,-43.35,0.0,-27.21
LIQUIDITY_RALLY,BUY_STARTER,1,-21.62,0.0,-5.47
SIDEWAYS_CHOPPY,AVOID_BAD_BUSINESS,17,4.62,52.9,4.0
SIDEWAYS_CHOPPY,BUY_ON_PULLBACK,3,-0.06,33.3,4.46
SIDEWAYS_CHOPPY,BUY_STARTER,24,9.52,50.0,6.2
SIDEWAYS_CHOPPY,WATCHLIST_NEEDS_CONFIRMATION,52,8.4,69.2,5.48
