archetype,decision,count,avg_return_pct,win_rate_pct,avg_excess_spy_pct
HYPER_GROWTH,AVOID_BAD_CHART,37,4.0,54.1,3.63
HYPER_GROWTH,BUY_NOW_MOMENTUM,16,12.46,81.2,12.36
HYPER_GROWTH,BUY_STARTER_STRONG_BUT_EXTENDED,35,7.95,68.6,6.78
HYPER_GROWTH,WAIT_FOR_PULLBACK,43,-1.92,48.8,-2.22
HYPER_GROWTH,WATCHLIST,25,9.38,80.0,7.25
PROFITABLE_GROWTH,AVOID_BAD_CHART,85,2.28,55.3,1.02
PROFITABLE_GROWTH,BUY_NOW_MOMENTUM,87,1.02,59.8,-0.32
PROFITABLE_GROWTH,BUY_STARTER_STRONG_BUT_EXTENDED,12,1.45,75.0,0.14
PROFITABLE_GROWTH,WAIT_FOR_PULLBACK,77,1.03,54.5,1.09
PROFITABLE_GROWTH,WATCHLIST,51,-0.44,45.1,-0.65
