month,signals,avg_return_pct,win_rate_pct,buy_signals,avoid_signals
2021-01,12,5.02,91.7,4,1
2021-02,12,-2.12,41.7,3,0
2021-03,15,6.47,66.7,4,3
2021-04,12,0.25,50.0,5,0
2021-05,15,6.83,66.7,6,5
2021-06,12,5.17,66.7,5,1
2021-07,12,2.95,66.7,5,1
2021-08,15,2.17,53.3,9,0
2021-09,12,0.38,66.7,3,1
2021-10,12,14.69,91.7,5,3
2021-11,15,3.14,46.7,8,0
2021-12,12,-3.69,25.0,4,4
2022-01,15,-4.64,26.7,1,6
2022-02,12,-3.24,25.0,0,4
2022-03,12,-1.35,58.3,0,8
2022-04,12,-12.83,0.0,1,8
2022-05,15,-3.72,20.0,0,14
2022-06,12,-0.22,41.7,0,11
2022-07,12,11.14,100.0,0,7
2022-08,15,-10.46,13.3,0,5
2022-09,12,-5.85,16.7,0,8
2022-10,15,12.21,80.0,0,10
2022-11,12,-0.49,50.0,0,2
2022-12,12,1.53,66.7,1,3
2023-01,15,13.35,93.3,7,3
2023-02,12,3.02,58.3,10,0
2023-03,12,6.4,75.0,5,3
2023-04,12,4.74,83.3,9,0
2023-05,15,12.99,93.3,11,0
2023-06,12,7.83,100.0,10,0
2023-07,15,-0.39,53.3,13,0
2023-08,12,-1.8,33.3,3,3
2023-09,12,-1.24,41.7,2,1
2023-10,15,4.75,66.7,0,7
2023-11,12,4.83,83.3,8,0
2023-12,12,5.97,75.0,8,0
