ticker,date,horizon,decision,score,confidence,market_regime,archetype,phase,price,technical_score,fundamental_score,valuation_score,earnings_score,trend,rsi,is_extended,entry_preferred,stop_loss,first_target,sc_momentum,sc_trend,sc_entry_timing,sc_volume_accumulation,sc_volatility_risk,sc_relative_strength,sc_growth,sc_valuation,sc_quality,sc_ownership,sc_catalyst,forward_return,spy_return,qqq_return,excess_return,excess_return_vs_qqq,max_drawdown_period
AAPL,2021-01-04,short_term,WAIT_FOR_PULLBACK,58.97,medium,BULL_RISK_ON,PROFITABLE_GROWTH,3,125.85670471191406,100.0,68.0,45.0,40.0,strong_uptrend,54.96,False,119.9925,118.79,130.72,80.0,95.0,70.0,23.0,38.8,42.5,85.0,26.7,50.0,50.0,55.0,4.3119,3.46,5.939,0.8519,-1.6271,-2.3414
AAPL,2021-01-04,medium_term,BUY_STARTER,61.5,medium,BULL_RISK_ON,PROFITABLE_GROWTH,3,125.85670471191406,100.0,68.0,45.0,40.0,strong_uptrend,54.96,False,125.86,118.79,130.72,80.0,95.0,70.0,23.0,38.8,42.5,85.0,26.7,50.0,50.0,55.0,-2.327,10.483,7.0893,-12.81,-9.4163,-10.066
AAPL,2021-01-04,long_term,WATCHLIST_VALUATION_TOO_RICH,59.45,medium,BULL_RISK_ON,PROFITABLE_GROWTH,3,125.85670471191406,100.0,68.0,45.0,40.0,strong_uptrend,54.96,False,119.9925,118.79,130.72,80.0,95.0,70.0,23.0,38.8,42.5,85.0,26.7,50.0,50.0,55.0,41.513,31.2611,30.4889,10.2519,11.0241,-10.066
AAPL,2021-01-11,short_term,WATCHLIST,53.65,medium,BULL_RISK_ON,PROFITABLE_GROWTH,3,125.43849182128906,90.0,68.0,45.0,40.0,strong_uptrend,51.9,False,123.095,121.86,125.53,80.0,75.0,63.7,16.0,38.8,27.5,85.0,26.7,50.0,50.0,55.0,5.608,3.0526,6.0715,2.5554,-0.4635,-1.6436
AAPL,2021-01-11,medium_term,WATCHLIST_NEEDS_CONFIRMATION,53.9,medium,BULL_RISK_ON,PROFITABLE_GROWTH,3,125.43849182128906,90.0,68.0,45.0,40.0,strong_uptrend,51.9,False,123.095,121.86,125.53,80.0,75.0,63.7,16.0,38.8,27.5,85.0,26.7,50.0,50.0,55.0,4.3812,9.3803,8.4632,-4.9991,-4.082,-9.7661
AAPL,2021-01-11,long_term,WATCHLIST_VALUATION_TOO_RICH,57.45,medium,BULL_RISK_ON,PROFITABLE_GROWTH,3,125.43849182128906,90.0,68.0,45.0,40.0,strong_uptrend,51.9,False,123.095,121.86,125.53,80.0,75.0,63.7,16.0,38.8,27.5,85.0,26.7,50.0,50.0,55.0,34.3243,24.565,21.4748,9.7593,12.8495,-9.7661
AAPL,2021-01-18,short_term,WATCHLIST,45.68,low,BULL_RISK_ON,PROFITABLE_GROWTH,3,123.6490249633789,85.0,68.0,45.0,40.0,strong_uptrend,48.09,False,123.2375,122.01,123.77,55.0,75.0,62.5,11.0,48.2,22.2,85.0,26.7,50.0,50.0,55.0,4.9151,3.6049,6.0459,1.3102,-1.1308,-0.1573
AAPL,2021-01-18,medium_term,WATCHLIST_NEEDS_CONFIRMATION,52.28,medium,BULL_RISK_ON,PROFITABLE_GROWTH,3,123.6490249633789,85.0,68.0,45.0,40.0,strong_uptrend,48.09,False,123.2375,122.01,123.77,55.0,75.0,62.5,11.0,48.2,22.2,85.0,26.7,50.0,50.0,55.0,6.2148,10.0145,7.2368,-3.7997,-1.022,-8.4602
AAPL,2021-01-18,long_term,WATCHLIST_VALUATION_TOO_RICH,56.66,medium,BULL_RISK_ON,PROFITABLE_GROWTH,3,123.6490249633789,85.0,68.0,45.0,40.0,strong_uptrend,48.09,False,123.2375,122.01,123.77,55.0,75.0,62.5,11.0,48.2,22.2,85.0,26.7,50.0,50.0,55.0,36.9647,24.3667,20.6791,12.598,16.2856,-8.4602
AAPL,2021-01-25,short_term,BUY_STARTER_STRONG_BUT_EXTENDED,73.53,medium_high,BULL_RISK_ON,PROFITABLE_GROWTH,3,138.99574279785156,100.0,68.0,45.0,40.0,strong_uptrend,69.66,True,123.3438,122.11,152.9,92.0,90.0,48.8,65.0,52.9,74.8,85.0,26.7,50.0,50.0,55.0,-11.8051,0.809,-2.0207,-12.6141,-9.7844,-17.0397
